FO_Def_Teams,FO_DFEI,FO_DDE,FO_DTD,FO_DVD,FO_DFD,FO_DBD,FO_DTO,Year
Georgia,1.16,2,1,2,20,19,94,2022
Iowa,1.14,3,3,5,17,41,5,2022
Alabama,.59,17,14,19,27,56,128,2022
Iowa State,.75,13,13,6,5,16,58,2022
Illinois,1.07,5,4,4,7,23,13,2022
Penn State,.90,7,8,12,6,3,24,2022
Ohio State,1.10,4,5,3,3,38,39,2022
Michigan,1.25,1,2,1,4,11,102,2022
LSU,.29,35,32,48,36,43,114,2022
Marshall,.96,6,7,9,13,51,25,2022
Louisville,.65,16,20,21,20,34,2,2022
Texas,.37,31,18,49,32,23,106,2022
Kansas State,.47,23,24,17,66,107,14,2022
Clemson,.81,11,11,7,8,6,55,2022
Tulane,.54,20,23,22,67,62,32,2022
Minnesota,.86,8,6,10,10,26,36,2022
Kentucky,.27,36,34,31,80,110,52,2022
Wisconsin,.57,18,32,27,25,9,43,2022
Texas Tech,.11,47,44,70,72,90,70,2022
Utah,.15,44,43,35,52,48,40,2022
Missouri,.32,33,34,18,63,12,68,2022
Auburn,.07,51,60,44,58,15,57,2022
Pittsburgh,.45,25,30,23,18,8,92,2022
NC State,.44,27,25,24,28,65,46,2022
Washington State,.37,30,27,46,33,49,42,2022
TCU,.12,46,45,33,60,38,81,2022
Oregon State,.44,26,19,20,25,43,93,2022
Mississippi State,.20,40,50,40,24,97,47,2022
Notre Dame,.53,21,26,15,11,21,68,2022
Florida State,.51,22,16,25,9,27,96,2022
Texas A&M,.14,45,37,50,46,50,75,2022
Cincinnati,.41,28,31,36,43,18,73,2022
Liberty,.70,14,22,26,19,17,30,2022
James Madison,.82,10,15,11,1,2,37,2022
Oklahoma State,.00,60,64,65,22,68,78,2022
South Alabama,.68,15,12,13,15,10,22,2022
Troy,.56,19,17,16,53,35,67,2022
Boise State,.84,9,10,8,2,1,53,2022
Georgia Tech,.06,53,48,50,101,76,7,2022
Oklahoma,-.04,65,67,76,54,13,77,2022
Maryland,-.11,72,54,83,59,81,88,2022
Virginia,.34,32,21,52,76,78,59,2022
Rutgers,.03,56,69,45,47,46,111,2022
Syracuse,.01,58,61,66,87,66,29,2022
Baylor,-.20,88,91,95,85,98,17,2022
Memphis,.05,54,74,53,37,92,73,2022
Purdue,.02,57,53,36,37,28,97,2022
Navy,-.05,66,56,88,41,40,19,2022
Arkansas,-.27,96,89,87,114,86,50,2022
Northwestern,-.25,94,76,89,44,69,95,2022
Miami,.15,43,51,54,49,72,20,2022
Indiana,-.22,90,94,67,117,79,98,2022
Western Kentucky,.46,24,28,41,42,37,16,2022
Air Force,.77,12,9,14,12,7,64,2022
Tennessee,-.13,75,75,92,40,33,43,2022
Florida,-.34,99,104,99,122,103,3,2022
San Diego State,.26,38,55,56,14,5,12,2022
Oregon,-.18,86,65,105,90,75,6,2022
UCF,.07,52,29,85,39,29,116,2022
Georgia State,-.11,71,94,76,54,45,8,2022
Wake Forest,-.17,84,84,81,81,71,85,2022
South Carolina,-.24,93,92,80,104,60,53,2022
California,-.26,95,93,78,101,76,61,2022
East Carolina,-.11,73,68,93,35,61,56,2022
Ole Miss,-.19,87,73,71,91,69,83,2022
Buffalo,.21,39,58,72,71,64,4,2022
Texas State,.30,34,42,36,34,63,35,2022
Boston College,-.16,79,89,59,48,23,126,2022
Duke,.17,42,41,47,69,57,11,2022
Virginia Tech,.11,48,36,39,23,20,117,2022
