FO_Teams,FO_OFEI,FO_ODE,FO_OPD,FO_OAY,FO_OPP,FO_OTD,FO_OFD,FO_OBD,FO_OTO,Year
Alabama,2.18,1.85,4.00,.683,7.25,.519,.635,.865,.077,2021
Ohio State,1.97,2.11,4.12,.710,8.98,.552,.621,.897,.017,2021
Georgia,1.48,1.35,3.55,.613,7.53,.452,.516,.823,.032,2021
Ole Miss,1.26,1.39,3.49,.604,6.66,.472,.566,.774,.132,2021
Michigan,1.25,1.09,3.44,.584,6.44,.407,.492,.729,.153,2021
Oklahoma,1.07,.90,3.35,.590,6.78,.379,.515,.758,.136,2021
Texas,1.02,.93,3.34,.529,6.94,.432,.500,.649,.189,2021
Coastal Carolina,1.02,2.53,4.50,.751,8.80,.625,.700,.900,.025,2021
LSU,1.01,.61,2.70,.507,6.06,.344,.393,.787,.082,2021
Air Force,.97,1.23,3.21,.633,5.98,.421,.509,.789,.053,2021
Arizona State,.90,1.05,2.96,.615,7.03,.400,.436,.891,.018,2021
Iowa State,.89,.80,3.12,.562,6.96,.365,.481,.750,.058,2021
Florida,.85,.84,2.95,.586,7.21,.403,.468,.753,.104,2021
Western Kentucky,.81,1.20,3.32,.675,7.10,.411,.571,.804,.089,2021
BYU,.80,.75,2.62,.552,6.63,.338,.456,.735,.088,2021
UCLA,.80,.84,3.08,.549,6.53,.397,.438,.753,.096,2021
Virginia,.79,1.01,3.00,.598,6.78,.373,.522,.836,.119,2021
Cincinnati,.78,.85,3.09,.515,7.05,.415,.453,.698,.132,2021
Texas Tech,.77,1.16,3.35,.618,7.13,.421,.579,.772,.105,2021
TCU,.73,1.02,3.11,.562,7.22,.400,.455,.818,.055,2021
North Carolina,.70,.72,2.88,.564,6.96,.377,.455,.779,.078,2021
Oregon State,.67,.68,3.00,.583,6.55,.389,.481,.796,.056,2021
Auburn,.65,.39,2.44,.531,6.08,.279,.393,.721,.082,2021
Baylor,.64,.77,2.84,.551,6.76,.377,.443,.705,.098,2021
Western Michigan,.63,.64,2.73,.565,5.89,.344,.484,.813,.078,2021
Memphis,.62,.81,2.76,.553,7.06,.382,.471,.691,.088,2021
Wake Forest,.61,.85,3.23,.601,6.18,.386,.491,.754,.105,2021
Oregon,.59,.55,2.65,.544,6.31,.345,.400,.800,.073,2021
Kansas State,.57,.37,2.43,.515,6.15,.304,.435,.652,.109,2021
Penn State,.54,-.19,1.97,.398,5.30,.233,.333,.583,.200,2021
Nebraska,.53,.49,2.35,.528,6.58,.320,.413,.800,.080,2021
Arkansas,.51,.46,2.60,.509,6.48,.321,.423,.692,.103,2021
Louisiana,.51,.76,2.73,.519,6.34,.385,.423,.731,.096,2021
Tennessee,.50,.63,2.88,.537,6.36,.368,.441,.735,.088,2021
Army,.47,.88,3.15,.561,5.50,.434,.472,.792,.038,2021
Kentucky,.46,.55,2.58,.509,6.76,.339,.424,.746,.085,2021
SMU,.46,.83,3.02,.608,6.93,.400,.483,.850,.050,2021
Utah,.44,.33,2.41,.509,6.29,.321,.375,.750,.071,2021
Notre Dame,.44,-.26,2.06,.397,5.31,.250,.300,.638,.213,2021
Pittsburgh,.43,.95,3.20,.532,6.81,.441,.441,.695,.136,2021
UCF,.42,-.01,2.15,.418,5.74,.290,.371,.629,.113,2021
USC,.40,.27,2.40,.521,6.19,.258,.419,.806,.097,2021
Liberty,.35,.72,2.87,.535,6.30,.397,.508,.698,.190,2021
Oklahoma State,.33,-.07,1.92,.440,5.44,.233,.317,.667,.150,2021
Louisville,.33,.27,2.38,.491,6.15,.283,.350,.700,.050,2021
Minnesota,.30,.01,2.20,.435,5.43,.277,.323,.708,.200,2021
Appalachian State,.29,.39,2.43,.523,6.28,.302,.377,.755,.057,2021
Florida State,.28,.23,2.38,.458,6.49,.317,.383,.650,.150,2021
Michigan State,.26,.27,2.46,.500,6.61,.292,.417,.722,.111,2021
Purdue,.25,.16,2.14,.512,5.74,.238,.397,.778,.079,2021
Missouri,.23,.26,2.48,.475,5.78,.308,.338,.769,.077,2021
Stanford,.19,.06,2.22,.444,5.98,.274,.315,.685,.096,2021
NC State,.18,.06,2.14,.459,5.67,.271,.322,.729,.068,2021
Washington,.16,.11,2.34,.460,5.55,.302,.358,.698,.113,2021
Texas A&M,.15,.14,2.36,.474,6.24,.280,.400,.693,.147,2021
Eastern Michigan,.11,.47,2.55,.473,5.86,.323,.403,.694,.145,2021
Clemson,.10,-.80,1.29,.353,4.64,.143,.214,.643,.143,2021
Boise State,.10,-.07,2.30,.465,5.48,.260,.403,.792,.104,2021
Houston,.10,.52,2.79,.489,5.58,.377,.453,.660,.132,2021
Mississippi State,.09,-.04,2.04,.471,5.36,.250,.338,.779,.118,2021
Charlotte,.07,.70,2.54,.522,6.24,.346,.423,.808,.058,2021
Ball State,.07,-.21,1.97,.412,4.96,.242,.318,.652,.106,2021
Marshall,.04,.42,2.64,.543,6.71,.342,.493,.740,.178,2021
Tulane,.04,-.03,2.21,.437,5.50,.310,.379,.672,.121,2021
Kent State,.03,-.21,1.77,.469,5.61,.203,.348,.710,.130,2021
Nevada,.03,.38,2.74,.517,6.10,.310,.397,.741,.052,2021
Iowa,-.01,-.30,2.11,.417,4.90,.244,.280,.659,.122,2021
East Carolina,-.01,.12,2.17,.467,5.86,.266,.375,.703,.109,2021
Wisconsin,-.01,-.57,1.55,.427,5.14,.179,.313,.642,.119,2021
Washington State,-.01,-.14,2.06,.459,5.53,.262,.385,.723,.138,2021
Virginia Tech,-.02,-.37,1.84,.398,4.91,.232,.286,.571,.196,2021
Syracuse,-.04,-.06,1.96,.431,5.51,.254,.310,.704,.141,2021
Boston College,-.04,.03,2.26,.473,5.51,.280,.400,.640,.120,2021
Miami,-.04,-.31,1.87,.437,5.54,.213,.344,.689,.115,2021
Georgia Tech,-.06,-.08,2.02,.465,6.18,.241,.362,.672,.086,2021
Utah State,-.07,.16,2.09,.519,5.63,.250,.393,.821,.054,2021
UTSA,-.07,.73,2.87,.574,6.10,.353,.456,.779,.029,2021
Northern Illinois,-.09,-.02,2.21,.462,5.30,.242,.339,.677,.129,2021
Buffalo,-.12,.08,1.98,.474,5.53,.246,.338,.692,.092,2021
Indiana,-.14,-.97,1.28,.386,4.79,.115,.279,.639,.082,2021
Maryland,-.14,-.12,2.02,.433,6.04,.236,.364,.709,.091,2021
Florida Atlantic,-.16,.11,2.10,.477,5.94,.286,.367,.673,.184,2021
California,-.18,-.31,1.64,.449,5.49,.218,.327,.673,.091,2021
Arkansas State,-.21,-.10,1.94,.414,6.02,.234,.297,.703,.094,2021
UAB,-.23,-.11,2.05,.439,5.67,.250,.339,.679,.125,2021
West Virginia,-.23,-.33,1.90,.450,5.53,.196,.333,.765,.098,2021
