defRk,defSchool,defG,defPts,defCmp,defpAtt,defPct,defpYds,defpTD,defrAtt,defrYds,defrAvg,defrTD,defPlays,deftotYds,deftotAvg,deffdPass,deffdRush,deffdPen,deffdTot,defpen,defpenYds,defFum,defInt,defTO
1,Illinois,6,8,14.5,32.3,44.8,160.7,0.3,28.8,67.2,2.3,0.2,61.2,227.8,3.7,6.7,3.8,1.8,12.3,5.2,45.7,0.8,1.5,2.3
2,Minnesota,5,8.8,16,27.8,57.6,140.6,0.6,23,81.4,3.5,0.4,50.8,222,4.4,6.4,4.8,0.8,12,5.6,50.6,0.6,1.2,1.8
3,Iowa,6,9.8,19.2,32.7,58.7,154,0.5,36.5,111,3,0.3,69.2,265,3.8,7.5,8,1,16.5,6.2,48.8,0.7,1,1.7
4,Georgia,6,10.7,17.3,31.5,55,173.5,0.7,25.7,89.8,3.5,0.2,57.2,263.3,4.6,7.2,5,1,13.2,6,46.5,0.3,1,1.3
5,Michigan,6,11.3,17.5,32.7,53.6,165.3,0.8,31.2,81.7,2.6,0.5,63.8,247,3.9,8.3,5.7,1.5,15.5,2.7,28.2,0.5,0.7,1.2
6,Alabama,6,12.5,16.3,31.2,52.4,166.3,0.5,35.3,84.5,2.4,0.7,66.5,250.8,3.8,7.5,5.8,2.8,16.2,6.5,48.5,0.5,0.3,0.8
7,Tulane,6,13.3,16.8,27.7,60.8,151,1,38.3,135.2,3.5,0.3,66,286.2,4.3,7.2,7.7,0.5,15.3,6.5,51.7,0.2,1,1.2
8,Iowa State,6,13.7,15.7,27.7,56.6,186.5,1,30,91,3,0.7,57.7,277.5,4.8,7.7,5.3,1.8,14.8,5.2,43.5,1,0.7,1.7
9,San Jose State,5,14,14,24.6,56.9,156,1,36.2,132,3.6,0.6,60.8,288,4.7,7.8,7,0.8,15.6,7.8,69.2,0.4,1.2,1.6
10,Syracuse,5,14,18.6,28.4,65.5,176.6,1,28,95,3.4,1,56.4,271.6,4.8,7.4,5.8,1,14.2,7.6,67.8,0.8,1,1.8
11,Ole Miss,6,14.5,21.3,34.5,61.8,212.3,1.2,37.8,117.8,3.1,0.5,72.3,330.2,4.6,8.8,8.2,1.2,18.2,5.7,45.8,1,0.7,1.7
12,UCF,5,14.6,17.6,33.4,52.7,207.2,0.6,34,137.2,4,1,67.4,344.4,5.1,9.6,6.4,2.8,18.8,7.4,62.6,1,0.4,1.4
13,Penn State,5,14.8,22.4,45.2,49.6,262,1,27,79.6,2.9,0.6,72.2,341.6,4.7,11.6,5.8,2,19.4,5.8,55.6,1.4,1,2.4
14,James Madison,5,15,14.8,27.2,54.4,186.4,1.4,29.6,41,1.4,0.6,56.8,227.4,4,7.6,2.6,1.2,11.4,4.6,34.4,1.2,0.8,2
15,North Carolina State,6,15.7,19.7,34.3,57.3,184.8,0.8,27.7,113,4.1,1,62,297.8,4.8,7.7,5.5,1.8,15,6,60.3,0.3,1.5,1.8
16,Ohio State,6,15.7,14.5,25.3,57.2,160.3,1,31.3,93.2,3,0.7,56.7,253.5,4.5,6.2,4.5,1.8,12.5,6,51.7,0.3,0.7,1
17,Marshall,5,16.2,16.4,31.2,52.6,210,1,29,71.2,2.5,0.6,60.2,281.2,4.7,7.4,4.4,1.4,13.2,4.6,32.6,0.8,1.6,2.4
18,Kentucky,6,16.3,14.7,27.5,53.3,174.2,0.5,33,133,4,1.2,60.5,307.2,5.1,7.7,5.8,0.8,14.3,5,36.8,0.3,0.8,1.2
19,Kansas State,6,16.7,21.3,36,59.3,221.7,1.2,33.7,132.8,3.9,0.5,69.7,354.5,5.1,9.8,7.5,1,18.3,6.8,52.2,0.3,1.5,1.8
20,Temple,5,16.8,16.2,27,60,149,1,41,131.2,3.2,0.6,68,280.2,4.1,7,7.2,1.6,15.8,6.8,52.2,0.2,0.4,0.6
21,UAB,5,16.8,18,33.6,53.6,168.6,0.6,37.4,149,4,1.6,71,317.6,4.5,9,7.6,2.2,18.8,6.2,58.2,0.6,1.4,2
22,Tennessee,5,17.8,27.6,44.6,61.9,307.4,1.2,32.2,89.4,2.8,1,76.8,396.8,5.2,15,5.6,2.6,23.2,9,63.2,1,1,2
23,Texas,6,17.8,24,37,64.9,212,0.8,37.5,126.2,3.4,1.2,74.5,338.2,4.5,11.3,7.3,1.5,20.2,7.3,53.8,0,0.7,0.7
24,Air Force,6,18,14,23.2,60.4,162.2,0.8,30.5,139.2,4.6,1.3,53.7,301.3,5.6,7.3,7.3,0.7,15.3,4.3,34.7,0.5,0.7,1.2
25,Clemson,6,18.3,24.2,39.7,60.9,256,1.7,29,62.2,2.1,0.3,68.7,318.2,4.6,11.3,4.3,2.2,17.8,6.3,57.3,1,1,2
26,USC,6,18.7,19,31,61.3,198.8,0.8,33.3,152.7,4.6,1.7,64.3,351.5,5.5,10.7,8.2,2,20.8,6,54.8,0.7,2,2.7
27,South Alabama,5,18.8,19.6,34.8,56.3,200.4,1.4,30,100.8,3.4,0.6,64.8,301.2,4.6,8.2,6.8,3,18,5.8,57.4,1.2,1.4,2.6
28,Texas A&M,6,18.8,17.5,30.3,57.7,175.5,1.5,40.7,189.5,4.7,0.5,71,365,5.1,9,10,2.5,21.5,6.8,69.7,1.3,0.3,1.7
29,LSU,6,19,15.5,27.5,56.4,193.7,1.2,34.8,134.8,3.9,0.8,62.3,328.5,5.3,8.2,7.7,1,16.8,5.7,54.8,1.3,0.7,2
30,Utah,6,19,15,26.2,57.3,179.3,1,31.5,136.5,4.3,1.3,57.7,315.8,5.5,8.2,6.5,1,15.7,7.5,63.2,0.5,1.7,2.2
31,Boise State,6,19.2,10.8,22.2,48.9,134.3,0.8,34.8,101.8,2.9,0.8,57,236.2,4.1,4.7,6.5,0.8,12,7.3,51,0.3,0.8,1.2
32,Wisconsin,6,19.5,16.7,29,57.5,203.5,1.2,32.7,116.8,3.6,1.3,61.7,320.3,5.2,9,6.2,2,17.2,4.8,44.2,0.3,1.7,2
33,Duke,6,19.7,20.8,34.5,60.4,240.7,1.7,34.2,140.7,4.1,0.7,68.7,381.3,5.6,11.2,7.7,2,20.8,5.5,61.5,1.3,0.3,1.7
34,Troy,6,20.2,22.2,37.3,59.4,233.5,1.3,36,115.5,3.2,1.2,73.3,349,4.8,11.3,8,2,21.3,7,68,0.8,1.2,2
35,Washington State,6,20.2,22.8,34.8,65.6,260.8,1.5,34.2,110.5,3.2,0.5,69,371.3,5.4,10.3,6.8,1.7,18.8,8,70.7,0.5,0.8,1.3
36,Louisiana,5,20.4,22.2,37.8,58.7,241.8,1,34,128.2,3.8,1.6,71.8,370,5.2,10,7,2.6,19.6,7.8,59,0.8,2,2.8
37,Baylor,5,20.6,21,34.4,61,223.2,1.4,34,96.8,2.8,0.8,68.4,320,4.7,9.6,6.8,1.8,18.2,6.6,54.8,0.4,0.6,1
38,Florida State,6,20.8,17.3,28.7,60.5,170.3,1.5,39.2,155.3,4,1,67.8,325.7,4.8,10,8.5,2.3,20.8,5.8,49.2,0.7,0.7,1.3
39,Mississippi State,6,21,20,35.2,56.9,219.5,1.2,30.8,138.5,4.5,1.5,66,358,5.4,8.7,7.2,2.5,18.3,6.5,46.2,0.7,1.3,2
40,Navy,5,21,18.4,28.4,64.8,262.2,1.8,30.6,86.8,2.8,0.6,59,349,5.9,10,4.4,1,15.4,6.2,52.8,1,0.8,1.8
41,Cincinnati,6,21.2,15.8,31,51.1,186.3,1.5,44.7,126.8,2.8,1.2,75.7,313.2,4.1,9.5,7.2,3.2,19.8,4.5,41.8,0.7,1,1.7
42,East Carolina,6,21.2,18.5,29,63.8,256.8,1.8,35.5,114.2,3.2,0.7,64.5,371,5.8,10.3,8,1,19.3,6.3,56.7,0.7,0.5,1.2
43,Miami (FL),5,21.8,15,25.4,59.1,262.6,1.6,32.6,102.2,3.1,0.8,58,364.8,6.3,9.2,5.4,0.8,15.4,8.2,68.8,0.4,1.4,1.8
44,California,5,22,24.2,38.2,63.4,268.4,1.8,30,119.2,4,1.2,68.2,387.6,5.7,13,6.8,1.2,21,6.4,62.6,0.4,1.4,1.8
45,Purdue,6,22,17.7,32,55.2,230.8,2.2,32.8,96.7,2.9,0.5,64.8,327.5,5.1,9.8,5.3,2.7,17.8,6,58.5,0.3,1.3,1.7
46,Rutgers,6,22,17.3,29.2,59.4,194.2,1.5,31.7,91.7,2.9,1.2,60.8,285.8,4.7,8.7,5.7,2.2,16.5,6.7,50,0.3,1.3,1.7
47,Louisville,6,22.3,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,8.7,7.5,1.8,18,10.3,71.8,0.7,1.3,2
48,Maryland,6,22.7,25,42,59.5,270.3,1.8,34,118.5,3.5,1,76,388.8,5.1,12.5,7.8,2.8,23.2,4,37.8,0.7,0.5,1.2
49,UCLA,6,22.7,23.8,38.2,62.4,245.8,1.3,32.5,99,3,1.2,70.7,344.8,4.9,11,7.5,2,20.5,6,55.5,1,1.2,2.2
50,New Mexico,6,22.8,19.2,32.2,59.6,231,1,31.8,116,3.6,1.2,64,347,5.4,8.8,6.2,2.2,17.2,6.3,66.8,1,1.2,2.2
51,Liberty,6,23,17.2,30.7,56,205,1,38,138.2,3.6,1.3,68.7,343.2,5,8.7,6,2.2,16.8,9,73.7,1.2,1.3,2.5
52,Notre Dame,5,23.2,16.4,28.2,58.2,194.6,2.2,34.6,146.6,4.2,0.8,62.8,341.2,5.4,7.2,9.2,2,18.4,5.8,49.4,0.2,0.2,0.4
53,Western Kentucky,6,23.7,23.3,37.8,61.7,244.8,1.3,39.3,130,3.3,1.3,77.2,374.8,4.9,11.3,8.8,1.8,22,7.7,73.3,1,1.5,2.5
54,San Diego State,6,23.8,20,33.5,59.7,227.5,1.8,35.3,166.7,4.7,1.5,68.8,394.2,5.7,10.2,9.2,1,20.3,5.8,46.2,0.7,0.8,1.5
55,TCU,5,23.8,19.8,36.4,54.4,268.8,1.6,36.2,134,3.7,1.4,72.6,402.8,5.5,11,8.4,1.4,20.8,4.8,40,0.4,1,1.4
56,Southern Mississippi,5,24,18.8,31.4,59.9,236.2,1.2,41.2,147.8,3.6,1.4,72.6,384,5.3,9.6,9,1.6,20.2,6.4,58,0.2,1.6,1.8
57,Missouri,6,24.7,16.8,29.5,57.1,191.5,0.8,34.2,138.3,4,1.5,63.7,329.8,5.2,8.3,7.5,1.5,17.3,4.7,37.3,0.8,0.8,1.7
58,Oklahoma State,5,24.8,26.2,43.4,60.4,304,2,35.6,118.8,3.3,1.2,79,422.8,5.4,13.8,6.8,1.2,21.8,5.6,53.6,0.2,0.8,1
59,Virginia,6,24.8,20,30.5,65.6,212,1.2,40.7,163,4,1.5,71.2,375,5.3,10.8,8.3,2.3,21.5,7,64.2,1.2,0.7,1.8
60,Auburn,6,25,18,30.2,59.7,196,0.3,37.7,163.8,4.3,2.7,67.8,359.8,5.3,9,8,1.3,18.3,8,61.8,0.7,0.2,0.8
61,South Carolina,6,25,14.7,26.7,55,179.7,1.7,40.8,174.7,4.3,1.7,67.5,354.3,5.2,8,10.3,2.3,20.7,7.3,68.2,0.2,1.3,1.5
62,Miami (OH),6,25.2,22.3,36,62,262.3,1.7,31.5,88.8,2.8,1.3,67.5,351.2,5.2,11.7,5.5,2.2,19.3,5.8,50.2,1,0.8,1.8
63,Florida,6,25.3,19.3,30.3,63.7,226.8,0.8,42,186,4.4,2,72.3,412.8,5.7,11.3,11.3,0.7,23.3,5.2,41.3,1,1,2
64,UNLV,6,25.3,19.7,31.7,62.1,248.7,1.7,35.7,123.2,3.5,1.2,67.3,371.8,5.5,9.8,7.5,2.8,20.2,5.3,49.7,0.2,1.8,2
65,Toledo,6,25.5,19.3,32.7,59.2,199.8,1.7,38.7,153.3,4,1.7,71.3,353.2,5,10,8,0.8,18.8,8.7,76.8,0.7,1,1.7
66,Wake Forest,6,25.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385,5.4,9.3,8.2,1,18.5,6.5,56.7,1,0.8,1.8
67,Coastal Carolina,6,26,21.5,32.3,66.5,277,1.7,35.7,118.2,3.3,1.2,68,395.2,5.8,12.3,7.5,1.2,21,6,49.3,1.5,1.3,2.8
68,Texas State,6,26,24.3,36.3,67,226.3,0.7,32.2,127,3.9,2.3,68.5,353.3,5.2,10.2,5.7,1.5,17.3,6.2,57.8,0.8,1,1.8
69,Virginia Tech,6,26,18.2,31.3,58,202.8,0.8,34,138.3,4.1,1.8,65.3,341.2,5.2,9.2,7.5,3,19.7,5.5,48.3,0.5,0.3,0.8
70,Pitt,6,26.2,18.3,34.2,53.7,211.8,1.3,32.2,125.3,3.9,1.5,66.3,337.2,5.1,9.3,5.8,2.7,17.8,6.5,53.3,0.7,0.8,1.5
71,Kansas,6,26.3,23.5,35.5,66.2,275.5,1.7,36,120.3,3.3,1.5,71.5,395.8,5.5,12.7,6.7,2.5,21.8,5.5,40.2,0.7,0.8,1.5
72,Wyoming,7,26.3,20.3,33.6,60.4,240.4,1.9,36.3,147.4,4.1,1.4,69.9,387.9,5.6,9.7,8.1,1.7,19.6,6.6,61.6,0.7,0.6,1.3
73,Brigham Young,6,26.7,17.3,27.5,63,190,1.7,41.7,174.5,4.2,1.5,69.2,364.5,5.3,9.3,9.2,2.8,21.3,6,48,0.2,0.8,1
74,Michigan State,6,27,23.8,34.3,69.4,292,2.3,38.2,153.5,4,1,72.5,445.5,6.1,14.3,7.8,1.5,23.7,7.7,71.5,1.2,0.2,1.3
75,Old Dominion,5,27.2,21.2,35,60.6,260.8,1.4,43.4,189.6,4.4,1.8,78.4,450.4,5.7,11.6,9.6,2.8,24,8,68,1,1.4,2.4
76,Oregon State,6,27.2,19.3,32.5,59.5,215.7,1.2,31.2,142.5,4.6,1.8,63.7,358.2,5.6,8,9.3,1.8,19.2,5.8,51,0.3,1.2,1.5
77,Buffalo,6,27.3,17,28.3,60,234.7,1.3,32.8,177.5,5.4,1.8,61.2,412.2,6.7,9.3,6.7,2,18,7.7,72.2,1.2,0.7,1.8
