home_team,home_model_points,away_team,away_model_points,vegas_spread,vegas_over_under,model_over_under,model_spread,spread_difference,abs_difference,OU_Prediction,Model_Pick,Model_SU_Pick,actual_home,actual_away,actual_winner,spread_winner,OU_winner,home_residual,away_residual,abs_home_residual,abs_away_residual,spread_result,OU_result,SU_result,Week
Louisiana-Monroe,26.83718948,Georgia State,22.13084007,16,51,48.96802956,-4.706349412,-20.70634941,20.70634941,Under,Louisiana-Monroe,Louisiana-Monroe,21,55,Georgia State,Georgia State,Over,-5.837189484,32.86915993,5.837189484,32.86915993,Loss,Loss,Loss,6
Kent State,23.28294551,Buffalo,30.09632668,-5.5,65,53.37927219,6.813381164,12.31338116,12.31338116,Under,Buffalo,Buffalo,48,38,Kent State,Kent State,Over,24.71705449,7.903673324,24.71705449,7.903673324,Loss,Loss,Loss,6
Tulsa,25.19851929,Memphis,32.02199587,-3.5,61.5,57.22051517,6.823476578,10.32347658,10.32347658,Under,Memphis,Memphis,35,29,Tulsa,Tulsa,Over,9.801480705,-3.021995873,9.801480705,3.021995873,Loss,Loss,Loss,6
Missouri,34.81205756,North Texas,25.05328033,-19,67.5,59.86533788,-9.758777228,9.241222772,9.241222772,Under,North Texas,Missouri,48,35,Missouri,North Texas,Over,13.18794244,9.946719672,13.18794244,9.946719672,Win,Loss,Win,6
Texas,36.76778578,Oklahoma,32.18689711,3.5,63.5,68.9546829,-4.580888668,-8.080888668,8.080888668,Over,Texas,Texas,48,55,Oklahoma,Oklahoma,Over,11.23221422,22.81310289,11.23221422,22.81310289,Loss,Win,Loss,6
Illinois,20.42641152,Wisconsin,22.65372894,10,42.5,43.08014046,2.227317414,-7.772682586,7.772682586,Over,Illinois,Wisconsin,0,24,Wisconsin,Wisconsin,Under,-20.42641152,1.346271064,20.42641152,1.346271064,Loss,Loss,Win,6
Arkansas State,20.44625985,Coastal Carolina,47.63131443,19.5,73,68.07757429,27.18505458,7.685054581,7.685054581,Under,Coastal Carolina,Coastal Carolina,20,52,Coastal Carolina,Coastal Carolina,Under,-0.446259853,4.368685566,0.446259853,4.368685566,Win,Win,Win,6
UAB,19.45051944,Florida Atlantic,22.39545458,-4.5,49,41.84597401,2.944935137,7.444935137,7.444935137,Under,Florida Atlantic,Florida Atlantic,31,14,UAB,UAB,Under,11.54948056,-8.395454576,11.54948056,8.395454576,Loss,Win,Loss,6
Washington State,20.62464313,Oregon State,31.50288425,3.5,59.5,52.12752737,10.87824112,7.378241122,7.378241122,Under,Oregon State,Oregon State,31,24,Washington State,Washington State,Under,10.37535687,-7.502884247,10.37535687,7.502884247,Loss,Win,Loss,6
Air Force,29.06397087,Wyoming,16.84379959,-6,47,45.90777046,-12.22017128,-6.220171277,6.220171277,Under,Air Force,Air Force,24,14,Air Force,Air Force,Under,-5.063970868,-2.843799591,5.063970868,2.843799591,Win,Win,Win,6
Navy,18.99582327,SMU,37.94122616,13.5,56,56.93704943,18.94540289,5.445402889,5.445402889,Over,SMU,SMU,24,31,SMU,Navy,Under,5.004176732,-6.941226157,5.004176732,6.941226157,Loss,Loss,Win,6
