Rk,School,G,Pts,Cmp,pAtt,Pct,pYds,pTD,rAtt,rYds,rAvg,rTD,Plays,totYds,totAvg,fdPass,fdRush,fdPen,fdTot,pen,penYds,Fum,Int,TO
1,Ohio State,6,48.8,20.8,29.3,71,315.7,4.2,38,228,6,2.7,67.3,543.7,8.1,13.5,10.7,2.5,26.7,5,47,0.3,0.5,0.8
2,Tennessee,5,46.8,22.6,31.6,71.5,340.4,2.6,44.4,207.4,4.7,3.4,76,547.8,7.2,12.4,11.4,3,26.8,8.4,78.6,1,0,1
3,Oklahoma State,5,46.4,23.4,38.4,60.9,310.8,2.8,38.4,158.6,4.1,2.4,76.8,469.4,6.1,14.4,9.6,2.4,26.4,4.2,39.4,0.4,0.6,1
4,TCU,5,46.4,22.6,30.8,73.4,299.8,2.8,34.8,230.2,6.6,3.4,65.6,530,8.1,12.8,9.6,0.8,23.2,5,46.8,0.4,0.2,0.6
5,Alabama,6,44.3,20,30.5,65.6,246.5,3.2,37,257.2,7,2.2,67.5,503.7,7.5,11.5,10.2,2.3,24,8.2,71.5,0.8,0.8,1.7
6,James Madison,5,44.2,20,29.8,67.1,274.8,3.2,47.2,213.8,4.5,2.6,77,488.6,6.3,12.4,12.6,1,26,4.6,39.4,0.8,0.2,1
7,Michigan,6,43,20,27,74.1,246.3,1.8,39.7,212.3,5.4,3.3,66.7,458.7,6.9,10.8,12.8,0.7,24.3,4,36.5,0.2,0.3,0.5
8,North Carolina,6,42.3,22.5,33.2,67.8,317.8,3.5,37,183.2,5,2,70.2,501,7.1,13.5,9.2,1.7,24.3,7,62.5,0.7,0.5,1.2
9,Oregon,6,42,23.8,34.3,69.4,270.8,2,38.8,241.7,6.2,3.2,73.2,512.5,7,11.2,14.2,2.2,27.5,7.8,69.3,0,0.8,0.8
10,UCLA,6,41.5,23.7,32,74,294.2,2.8,38.5,211.5,5.5,2.5,70.5,505.7,7.2,13.3,10.3,1.8,25.5,7.5,57.3,0.7,0.5,1.2
