data,year,fieldlength,team,Commits,Avg,Five_Stars,Four_Stars,Three_Stars,TotalRecPoints
2018 1 1 Clemson 17 Commits 93.45 5-Star 5 4-Star 7 3-Star 5 283.67,2018,14,Clemson ,17,93.45,5,7,5,283.67
2018 2 2 Miami 23 Commits 90.99 5-Star 1 4-Star 14 3-Star 8 280.87,2018,14,Miami ,23,90.99,1,14,8,280.87
2018 3 3 Florida State 22 Commits 90.91 5-Star 0 4-Star 13 3-Star 8 265.42,2018,15,Florida State ,22,90.91,0,13,8,265.42
2018 4 5 North Carolina 24 Commits 87.80 5-Star 0 4-Star 7 3-Star 15 232.27,2018,15,North Carolina ,24,87.80,0,7,15,232.27
2018 5 4 Virginia Tech 26 Commits 87.46 5-Star 0 4-Star 7 3-Star 19 226.01,2018,15,Virginia Tech ,26,87.46,0,7,19,226.01
2018 6 6 NC State 25 Commits 86.58 5-Star 0 4-Star 6 3-Star 17 220.57,2018,15,NC State ,25,86.58,0,6,17,220.57
2018 7 7 Louisville 25 Commits 86.53 5-Star 0 4-Star 4 3-Star 19 213.58,2018,14,Louisville ,25,86.53,0,4,19,213.58
2018 8 9 Georgia Tech 24 Commits 85.23 5-Star 0 4-Star 3 3-Star 19 196.94,2018,15,Georgia Tech ,24,85.23,0,3,19,196.94
2018 9 10 Pittsburgh 22 Commits 85.84 5-Star 0 4-Star 1 3-Star 20 193.19,2018,14,Pittsburgh ,22,85.84,0,1,20,193.19
2018 10 8 Syracuse 21 Commits 85.27 5-Star 0 4-Star 1 3-Star 19 189.86,2018,14,Syracuse ,21,85.27,0,1,19,189.86
2018 11 12 Virginia 24 Commits 84.45 5-Star 0 4-Star 0 3-Star 22 178.60,2018,14,Virginia ,24,84.45,0,0,22,178.60
2018 12 14 Duke 16 Commits 85.74 5-Star 0 4-Star 1 3-Star 15 176.85,2018,14,Duke ,16,85.74,0,1,15,176.85
2018 13 11 Wake Forest 23 Commits 84.28 5-Star 0 4-Star 0 3-Star 22 176.31,2018,15,Wake Forest ,23,84.28,0,0,22,176.31
2018 14 13 Boston College 22 Commits 83.65 5-Star 0 4-Star 1 3-Star 19 172.47,2018,15,Boston College ,22,83.65,0,1,19,172.47
2019 1 1 Texas 26 Commits 91.19 5-Star 2 4-Star 15 3-Star 9 287.69,2019,14,Texas ,26,91.19,2,15,9,287.69
2019 2 2 Oklahoma 24 Commits 91.20 5-Star 3 4-Star 13 3-Star 8 279.28,2019,14,Oklahoma ,24,91.20,3,13,8,279.28
2019 3 3 TCU 27 Commits 86.53 5-Star 0 4-Star 4 3-Star 23 217.48,2019,14,TCU ,27,86.53,0,4,23,217.48
2019 4 5 Oklahoma State 22 Commits 85.82 5-Star 0 4-Star 3 3-Star 19 202.89,2019,15,Oklahoma State ,22,85.82,0,3,19,202.89
2019 5 6 Baylor 24 Commits 85.95 5-Star 0 4-Star 2 3-Star 21 202.87,2019,14,Baylor ,24,85.95,0,2,21,202.87
2019 6 4 Iowa State 23 Commits 85.33 5-Star 0 4-Star 2 3-Star 21 192.25,2019,15,Iowa State ,23,85.33,0,2,21,192.25
2019 7 7 West Virginia 22 Commits 85.74 5-Star 0 4-Star 2 3-Star 19 191.83,2019,15,West Virginia ,22,85.74,0,2,19,191.83
2019 8 10 Texas Tech 20 Commits 84.26 5-Star 0 4-Star 0 3-Star 19 177.69,2019,15,Texas Tech ,20,84.26,0,0,19,177.69
2019 9 8 Kansas State 25 Commits 83.97 5-Star 0 4-Star 0 3-Star 21 177.40,2019,15,Kansas State ,25,83.97,0,0,21,177.40
2019 10 9 Kansas 20 Commits 83.96 5-Star 0 4-Star 1 3-Star 16 172.11,2019,14,Kansas ,20,83.96,0,1,16,172.11
2020 1 1 Ohio State 25 Commits 91.79 5-Star 3 4-Star 14 3-Star 8 294.92,2020,15,Ohio State ,25,91.79,3,14,8,294.92
2020 2 2 Michigan 24 Commits 90.59 5-Star 0 4-Star 15 3-Star 9 262.70,2020,14,Michigan ,24,90.59,0,15,9,262.70
2020 3 3 Penn State 27 Commits 89.54 5-Star 0 4-Star 11 3-Star 16 255.84,2020,15,Penn State ,27,89.54,0,11,16,255.84
2020 4 4 Nebraska 27 Commits 88.26 5-Star 0 4-Star 10 3-Star 16 243.28,2020,14,Nebraska ,27,88.26,0,10,16,243.28
2020 5 5 Wisconsin 20 Commits 87.83 5-Star 0 4-Star 5 3-Star 15 225.72,2020,14,Wisconsin ,20,87.83,0,5,15,225.72
2020 6 8 Maryland 27 Commits 85.62 5-Star 1 4-Star 2 3-Star 24 209.65,2020,14,Maryland ,27,85.62,1,2,24,209.65
2020 7 9 Purdue 23 Commits 86.47 5-Star 0 4-Star 5 3-Star 17 209.21,2020,14,Purdue ,23,86.47,0,5,17,209.21
2020 8 6 Iowa 21 Commits 86.44 5-Star 0 4-Star 1 3-Star 20 203.75,2020,14,Iowa ,21,86.44,0,1,20,203.75
2020 9 7 Minnesota 24 Commits 85.80 5-Star 0 4-Star 2 3-Star 22 199.34,2020,14,Minnesota ,24,85.80,0,2,22,199.34
2020 10 10 Michigan State 22 Commits 85.68 5-Star 0 4-Star 0 3-Star 22 193.30,2020,15,Michigan State ,22,85.68,0,0,22,193.30
2020 11 11 Northwestern 17 Commits 86.50 5-Star 0 4-Star 1 3-Star 16 190.68,2020,14,Northwestern ,17,86.50,0,1,16,190.68
2020 12 13 Indiana 20 Commits 85.00 5-Star 0 4-Star 1 3-Star 18 177.37,2020,14,Indiana ,20,85.00,0,1,18,177.37
2020 13 12 Rutgers 22 Commits 84.25 5-Star 0 4-Star 0 3-Star 21 172.87,2020,14,Rutgers ,22,84.25,0,0,21,172.87
2020 14 14 Illinois 14 Commits 84.90 5-Star 0 4-Star 0 3-Star 13 152.88,2020,14,Illinois ,14,84.90,0,0,13,152.88
2021 1 1 Oregon 23 Commits 92.36 5-Star 0 4-Star 19 3-Star 4 287.29,2021,14,Oregon ,23,92.36,0,19,4,287.29
2021 2 2 USC 22 Commits 91.77 5-Star 1 4-Star 14 3-Star 7 280.61,2021,14,USC ,22,91.77,1,14,7,280.61
2021 3 3 California 20 Commits 87.11 5-Star 0 4-Star 4 3-Star 15 209.23,2021,14,California ,20,87.11,0,4,15,209.23
2021 4 4 Washington 19 Commits 88.03 5-Star 1 4-Star 4 3-Star 11 208.90,2021,14,Washington ,19,88.03,1,4,11,208.90
2021 5 5 UCLA 19 Commits 87.54 5-Star 0 4-Star 3 3-Star 15 206.50,2021,14,UCLA ,19,87.54,0,3,15,206.50
2021 6 6 Utah 18 Commits 87.27 5-Star 0 4-Star 4 3-Star 14 205.89,2021,14,Utah ,18,87.27,0,4,14,205.89
2021 7 7 Stanford 17 Commits 86.55 5-Star 0 4-Star 2 3-Star 15 194.69,2021,14,Stanford ,17,86.55,0,2,15,194.69
2021 8 8 Arizona State 13 Commits 87.48 5-Star 0 4-Star 4 3-Star 9 181.25,2021,15,Arizona State ,13,87.48,0,4,9,181.25
2021 9 9 Washington State 20 Commits 84.27 5-Star 0 4-Star 0 3-Star 20 172.86,2021,15,Washington State ,20,84.27,0,0,20,172.86
2021 10 10 Colorado 19 Commits 83.92 5-Star 0 4-Star 0 3-Star 18 168.74,2021,14,Colorado ,19,83.92,0,0,18,168.74
2021 11 11 Arizona 18 Commits 83.53 5-Star 0 4-Star 0 3-Star 18 158.51,2021,14,Arizona ,18,83.53,0,0,18,158.51
2021 12 12 Oregon State 13 Commits 85.18 5-Star 0 4-Star 0 3-Star 10 131.45,2021,15,Oregon State ,13,85.18,0,0,10,131.45
2022 1 1 Texas A&M 30 Commits 95.00 5-Star 8 4-Star 20 3-Star 2 333.13,2022,15,Texas A&M ,30,95.00,8,20,2,333.13
2022 2 2 Alabama 26 Commits 95.27 5-Star 3 4-Star 21 3-Star 1 322.25,2022,14,Alabama ,26,95.27,3,21,1,322.25
2022 3 3 Georgia 30 Commits 93.01 5-Star 5 4-Star 17 3-Star 8 318.34,2022,14,Georgia ,30,93.01,5,17,8,318.34
2022 4 6 LSU 15 Commits 91.62 5-Star 1 4-Star 6 3-Star 8 245.76,2022,14,LSU ,15,91.62,1,6,8,245.76
2022 5 4 Kentucky 20 Commits 89.09 5-Star 0 4-Star 11 3-Star 9 240.16,2022,14,Kentucky ,20,89.09,0,11,9,240.16
2022 6 7 Missouri 18 Commits 90.04 5-Star 1 4-Star 8 3-Star 8 236.92,2022,14,Missouri ,18,90.04,1,8,8,236.92
2022 7 5 Tennessee 23 Commits 88.10 5-Star 0 4-Star 8 3-Star 14 233.22,2022,14,Tennessee ,23,88.10,0,8,14,233.22
2022 8 9 Florida 20 Commits 88.88 5-Star 0 4-Star 7 3-Star 11 232.99,2022,14,Florida ,20,88.88,0,7,11,232.99
2022 9 11 Auburn 18 Commits 89.45 5-Star 0 4-Star 11 3-Star 7 229.35,2022,14,Auburn ,18,89.45,0,11,7,229.35
2022 10 14 South Carolina 22 Commits 87.82 5-Star 0 4-Star 7 3-Star 15 220.16,2022,15,South Carolina ,22,87.82,0,7,15,220.16
