School,SRS,SOS
Wake Forest,16.47,-2.73
North Carolina State,9.51,-0.09
Clemson,11.87,7.07
Louisville,5.12,2.52
Florida State,-2.49,4.71
Boston College,9.29,-3.71
Syracuse,3.98,-2.82
Pitt,14.08,-0.33
Virginia Tech,6.86,-1.15
North Carolina,9.34,1.74
Virginia,5.79,2.79
Georgia Tech,6.61,4.81
Duke,-2.14,-5.94
Miami (FL),3.18,7.38
East Carolina,2.72,-0.48
Temple,-1.25,-2.05
UCF,1.63,-2.62
South Florida,-4.25,7.15
Cincinnati,17.70,-0.55
SMU,12.62,-4.58
Houston,5.62,-6.98
Navy,-5.98,5.27
Memphis,1.03,-3.77
Tulane,-4.67,2.73
Tulsa,-11.32,-0.92
Oklahoma,10.72,0.32
Oklahoma State,6.31,-2.09
Texas,15.41,4.21
Baylor,2.77,-8.03
Texas Tech,5.49,-0.71
Iowa State,2.61,-4.99
Kansas State,7.72,2.12
Texas Christian,5.13,1.13
West Virginia,4.93,2.93
Kansas,-17.39,-0.59
Michigan,25.69,6.29
Michigan State,15.81,-1.40
Penn State,15.51,-1.29
Ohio State,15.13,-0.07
Maryland,7.70,0.70
Rutgers,10.89,5.49
Indiana,0.75,6.95
Iowa,18.12,-0.08
Minnesota,5.50,2.10
Purdue,6.42,2.62
Nebraska,9.74,1.41
Illinois,1.06,5.56
Northwestern,-3.28,-2.08
Wisconsin,6.45,13.45
Charlotte,-2.27,-5.67
Florida Atlantic,4.20,-1.20
Middle Tennessee State,-2.74,-0.54
Marshall,2.83,-2.57
Florida International,-13.42,-5.82
Old Dominion,-5.98,1.62
Western Kentucky,-0.50,1.25
UTSA,5.98,-5.82
UTEP,-3.83,-8.63
UAB,3.20,1.80
Louisiana Tech,-0.09,1.31
Rice,-6.98,2.63
North Texas,-7.60,-0.10
Southern Mississippi,-8.95,-0.35
Notre Dame,14.07,5.87
Connecticut,-17.78,-1.78
Liberty,11.32,-3.28
New Mexico State,-16.84,-5.17
Massachusetts,-13.98,6.62
Army,4.56,-6.64
BYU,10.21,0.41
Kent State,-4.49,2.91
Miami (OH),-0.90,0.91
Ohio,-17.71,-6.11
Bowling Green State,-3.44,-0.64
Buffalo,0.25,1.65
Akron,-15.37,-2.37
Western Michigan,10.66,3.86
Northern Illinois,4.86,3.46
Toledo,1.28,-5.72
Eastern Michigan,-1.47,-6.87
Ball State,-5.64,1.56
Central Michigan,-7.13,-4.33
Air Force,11.02,-5.39
Utah State,1.66,1.66
Boise State,6.49,1.69
New Mexico,-10.70,-3.50
Wyoming,2.59,-8.67
Colorado State,-6.97,-1.97
Nevada,2.67,-2.33
San Jose State,-4.60,-3.60
Fresno State,3.04,-5.12
Hawaii,-3.82,-2.49
Nevada-Las Vegas,-12.36,1.64
San Diego State,8.01,-10.25
Oregon State,10.24,-1.36
Stanford,7.00,4.80
Oregon,9.97,-0.63
Washington,-1.43,-0.63
Washington State,-3.31,-1.91
California,-7.41,-2.61
Arizona State,12.68,-3.12
Utah,4.20,-0.30
UCLA,9.36,5.36
USC,8.13,0.53
Colorado,-6.71,3.70
Arizona,-12.23,3.02
Georgia,26.08,5.48
Kentucky,11.30,0.90
Tennessee,11.19,2.99
Florida,19.52,8.92
South Carolina,6.30,4.50
Missouri,0.91,1.71
Vanderbilt,-11.16,-1.56
Alabama,22.15,2.15
Auburn,8.10,-3.30
Arkansas,17.15,7.15
LSU,7.87,0.47
Mississippi State,8.12,5.32
Ole Miss,13.13,1.63
Texas A&M,8.28,0.68
Coastal Carolina,9.94,-10.66
Appalachian State,9.24,-3.16
Georgia Southern,-7.01,-2.01
Troy,-1.51,-2.71
Georgia State,-8.41,5.79
Louisiana,0.25,-4.95
Louisiana-Monroe,-6.09,0.91
South Alabama,0.69,-7.06
Arkansas State,-15.57,-6.97
Texas State,-15.56,-7.06
