home_team,away_team,spread,spread_open,over_under,over_under_open,provider,home_points,away_points,rownumberid
Florida State,Duquesne,-41.5,-43.0,57,55.0,Bovada,70,-13,1
Florida State,Duquesne,-42,NA,57,NA,William Hill (New Jersey),70.5,-13.5,2
Florida State,Duquesne,-42,NA,57,NA,consensus,70.5,-13.5,3
Oklahoma State,Central Michigan,-20.5,-18.5,58,59.5,Bovada,49.5,8.5,4
Oklahoma State,Central Michigan,-21.5,NA,57.5,NA,William Hill (New Jersey),50.25,7.25,5
Oklahoma State,Central Michigan,-20.5,NA,58,NA,consensus,49.5,8.5,6
Oklahoma State,Central Michigan,-20.5,NA,58,NA,teamrankings,49.5,8.5,7
Wake Forest,VMI,-33.5,-31.5,66.5,67.5,Bovada,66.75,-0.25,8
Wake Forest,VMI,-33,NA,66.5,NA,William Hill (New Jersey),66.25,0.25,9
Wake Forest,VMI,-33.5,NA,66.5,NA,consensus,66.75,-0.25,10
Florida Atlantic,Charlotte,-7,-5.5,60,57.5,Bovada,37,23,11
Toledo,Long Island University,-47,-47.0,57.5,55.5,Bovada,75.75,-18.25,12
Toledo,Long Island University,-47,NA,55.5,NA,William Hill (New Jersey),74.75,-19.25,13
Toledo,Long Island University,-47.5,NA,57,NA,consensus,76,-19,14
Purdue,Penn State,3.5,3.0,53,55.0,Bovada,23,30,15
Purdue,Penn State,3.5,NA,53.5,NA,William Hill (New Jersey),23.25,30.25,16
Purdue,Penn State,3.5,NA,53.5,NA,consensus,23.25,30.25,17
Purdue,Penn State,3.5,NA,53.5,NA,teamrankings,23.25,30.25,18
UTEP,North Texas,1.5,3.0,54,57.0,Bovada,25.5,28.5,19
UTEP,North Texas,1,NA,52.5,NA,William Hill (New Jersey),25.25,27.25,20
UTEP,North Texas,1.5,NA,52.5,NA,consensus,24.75,27.75,21
UTEP,North Texas,1.5,NA,52.5,NA,teamrankings,24.75,27.75,22
Florida International,Bryant,-10.5,-10.0,58.5,54.0,Bovada,39.75,18.75,23
Florida International,Bryant,-10,NA,58.5,NA,William Hill (New Jersey),39.25,19.25,24
Florida International,Bryant,-10.5,NA,58.5,NA,consensus,39.75,18.75,25
Western Kentucky,Austin Peay,-32.5,-27.5,73,64.5,Bovada,69,4,26
Western Kentucky,Austin Peay,-32.5,NA,72,NA,William Hill (New Jersey),68.5,3.5,27
Western Kentucky,Austin Peay,-32.5,NA,72,NA,consensus,68.5,3.5,28
North Texas,Florida Atlantic,3,3.0,67.5,67.0,Bovada,30.75,36.75,29
North Texas,Florida Atlantic,3,NA,67.5,NA,William Hill (New Jersey),30.75,36.75,30
North Texas,Florida Atlantic,3,NA,67.5,NA,consensus,30.75,36.75,31
North Texas,Florida Atlantic,3,NA,67.5,NA,teamrankings,30.75,36.75,32
Utah State,Connecticut,-23,-25.0,59,60.5,Bovada,52.5,6.5,33
Utah State,Connecticut,-24,NA,59.5,NA,William Hill (New Jersey),53.75,5.75,34
Utah State,Connecticut,-24,NA,59.5,NA,consensus,53.75,5.75,35
Utah State,Connecticut,-24,NA,59,NA,teamrankings,53.5,5.5,36
Illinois,Wyoming,-14,-9.5,43,46.5,Bovada,35.5,7.5,37
Illinois,Wyoming,-14,NA,43,NA,William Hill (New Jersey),35.5,7.5,38
Illinois,Wyoming,-14,NA,42.5,NA,consensus,35.25,7.25,39
Illinois,Wyoming,-14,NA,42.5,NA,teamrankings,35.25,7.25,40
North Carolina,Florida A&M,-45,NA,56.5,NA,William Hill (New Jersey),73.25,-16.75,41
North Carolina,Florida A&M,-45.5,NA,56.5,NA,consensus,73.75,-17.25,42
North Carolina,Florida A&M,-45,-43.0,55,56.0,Bovada,72.5,-17.5,43
New Mexico State,Nevada,7.5,14.0,48,55.5,Bovada,16.5,31.5,44
New Mexico State,Nevada,7,NA,48,NA,William Hill (New Jersey),17,31,45
New Mexico State,Nevada,7,NA,48,NA,consensus,17,31,46
New Mexico State,Nevada,7,NA,48,NA,teamrankings,17,31,47
Mercer,Morehead State,-27.5,-28.5,58,60.5,Bovada,56.5,1.5,48
Mercer,Morehead State,-29.5,NA,56.5,NA,William Hill (New Jersey),57.75,-1.25,49
Mercer,Morehead State,-29.5,NA,56.5,NA,consensus,57.75,-1.25,50
Charlotte,William & Mary,-4.5,-2.5,52,52.0,Bovada,30.5,21.5,51
Charlotte,William & Mary,-4.5,NA,52,NA,William Hill (New Jersey),30.5,21.5,52
Charlotte,William & Mary,-4.5,NA,52,NA,consensus,30.5,21.5,53
Auburn,Mercer,-30,-29.0,51.5,50.0,Bovada,55.75,-4.25,54
Auburn,Mercer,-30,NA,51.5,NA,William Hill (New Jersey),55.75,-4.25,55
Auburn,Mercer,-30,NA,51.5,NA,consensus,55.75,-4.25,56
Texas A&M,Sam Houston State,-38,-33.0,55.5,53.5,Bovada,65.75,-10.25,57
Texas A&M,Sam Houston State,-34.5,NA,54,NA,William Hill (New Jersey),61.5,-7.5,58
Texas A&M,Sam Houston State,-36.5,NA,54,NA,consensus,63.5,-9.5,59
