ADDRESS,PRICE,BEDS,BATHS,SQUARE FEET,AGE,YEAR BUILT,HOA/MONTH
1665 Edith Esplanade #104,270000,3,2,1625,48,1972,
4543 SE 6th Pl Unit 2F,177000,2,2,1216,41,1979,
1903 SE 40th Ter #106,295000,3,3,2305,39,1981,583
828 Victoria Dr Unit C11,175000,2,2,1288,45,1975,343
708 Victoria Dr #108,105000,1,1,682,54,1966,331
1771 Four Mile Cove Pkwy #1031,111500,3,2,1069,19,2001,289
4807 Sunset Ct #505,135000,2,2,1192,52,1968,
4803 Sunset Ct #308,138000,2,2,1158,52,1968,
4803 Sunset Ct #506,120500,2,2,1192,52,1968,
5121 Sunnybrook Ct #26,317000,2,2,1514,40,1980,
159 SW 47th Ter #106,179500,2,2,1150,33,1987,
4803 SW Santa Barbara Ct #1,154900,2,2.5,1404,40,1980,
4901 Victoria Dr #205,42000,1,1,664,56,1964,
5111 Atlantic Ct #207,339000,3,2,1850,14,2006,533
4906 Victoria Dr #110,66000,2,2,947,46,1974,226
728 Victoria Dr #202,280000,2,2,1608,18,2002,
632 Victoria Dr #105,151000,2,2,1165,49,1971,360
815 Victoria Dr #210,99000,2,2,782,36,1984,
5406 Chiquita Blvd S #103,183000,2,2,1135,21,1999,379
5706 Cape Harbour Dr #509,510000,2,2,1600,16,2004,
2135 SE 15th Pl #101,96500,2,2,930,39,1981,275
1413 SW 51st Ln #32,139500,2,2,953,34,1986,339
5793 Cape Harbour Dr #514,473850,3,2,1798,13,2007,
3808 Agualinda Blvd #302,205000,2,2,1518,14,2006,
3907 SW 9th Ave #114,119900,2,2,877,34,1986,302
912 SW 48th Ter #108,155100,2,2,1162,32,1988,
603 SE 15th St #104,130000,2,2,863,36,1984,
2623 Somerville Loop #502,203000,2,2,1536,14,2006,196
4210 SE 20th Pl Unit B1,150000,2,2,1296,43,1977,
4023 SE 19th Pl #107,203500,2,2,1166,41,1979,446
4014 SE 20th Pl #5,248500,2,2,1296,41,1979,
1412 SE 40th St #6,154500,2,2,947,37,1983,267
5217 Coronado Pkwy #101,121000,2,2,1168,26,1994,200
5510 SW 4th Pl #404,162000,2,2,1250,34,1986,
4622 SW 12th Pl #125,203000,3,2,1442,28,1992,
4520 SW 8th Pl #7,75000,2,1.5,886,37,1983,
1519 Cape Coral Pkwy W #11,123000,2,2,946,34,1986,320
1522 SW 50th St #103,161000,2,2,1096,16,2004,175
828 Victoria Dr Unit B14,123500,1,1,1334,45,1975,
3923 SE 11th Ave #303,111500,2,2,1039,39,1981,290
5505 SW 12th Ave #106,320000,3,2,1562,32,1988,
123 SW 47th Ter Unit 203B,175000,2,2,1218,31,1989,375
4807 Sunset Ct #707,143000,2,2,1158,52,1968,552
5925 Tarpon Gardens Cir #201,460000,3,3,3080,16,2004,183
1781 Four Mile Cove Pkwy #113,178200,2,2,1226,16,2004,
1771 Four Mile Cove Pkwy #1016,128000,3,2,1069,19,2001,
4007 Palm Tree Blvd #105,160000,2,2,1220,17,2003,
4005 Palm Tree Blvd #208,188000,2,2,1391,18,2002,152
1763 Four Mile Cove Pkwy #634,87800,2,2,968,19,2001,
5107 Santa Rosa Ct Unit 2C,160000,2,2,1213,42,1978,
408 Tudor Dr Unit 2E,222500,2,2,1389,41,1979,453
4405 Country Club Blvd Unit C203,180000,2,2,1220,40,1980,
4427 Country Club Blvd Unit H8,97000,1,1,882,57,1963,
4427 Country Club Blvd Unit H9,95000,1,1,882,57,1963,312
609 SE 15th St #203,119900,2,2,863,37,1983,183
1403 SE 1st Pl,370000,6,4,3312,13,2007,
4211 SE 19th Pl Unit 2C,188000,2,2,1360,43,1977,500
4260 SE 20th Pl #504,145000,2,2,1065,47,1973,364
1333 SE 40th Ter Unit 2A,136900,2,2,1456,41,1979,
1765 Cape Coral Pkwy E #213,245000,2,2,1384,29,1991,426
5116 Coronado Pkwy #15,145000,2,2,1105,39,1981,
4020 SE 20th Pl Unit F3,179000,2,2,1359,41,1979,388
4104 SE 19th Ave #202,160000,2,2,1140,46,1974,
4611 SE 5th Pl #3,100000,2,2,896,40,1980,
2510 SE 16th Pl #105,118400,2,2,1073,38,1982,225
1799 Four Mile Cove Pkwy #915,249000,3,2,1330,16,2004,330
1793 Four Mile Cove Pkwy #732,199000,3,2,1330,16,2004,350
1795 Four Mile Cove Pkwy #843,225000,2,2,1226,16,2004,330
2615 Somerville Loop #307,200000,2,2,1536,15,2005,196
1799 Four Mile Cove Pkwy #925,205000,3,2,1330,16,2004,
1793 Four Mile Cove Pkwy #744,155000,2,2,1226,16,2004,330
2526 SE 16th Pl #211,95000,2,2,1066,39,1981,310
1781 Four Mile Cove Pkwy #122,190000,3,2,1330,16,2004,330
1781 Four Mile Cove Pkwy #114,190000,2,2,1226,16,2004,330
1789 Four Mile Cove Pkwy #542,239000,3,2,1330,16,2004,
5781 Cape Harbour Dr #1402,498000,3,2,1797,14,2006,
5793 Cape Harbour Dr #1216,350000,2,2,1393,13,2007,
5933 Tarpon Gardens Cir #201,470000,3,3,3080,16,2004,190
4015 Palm Tree Blvd #105,150000,2,2,1203,17,2003,146
1795 Four Mile Cove Pkwy #836,195000,3,2,1395,16,2004,
719 SE 12th Ave #108,112000,2,2,982,39,1981,
423 Cape Coral Pkwy W #101,80000,2,2,840,35,1985,
302 Tudor Dr #5,235000,3,2,1631,42,1978,
920 SE 46th St #5,167000,2,2,1101,47,1973,
4534 SE 5th Pl #10,127000,2,2,1026,38,1982,200
4641 Palm Tree Blvd #5,85000,2,2,1098,41,1979,
1009 SE 46th Ln #203,145000,2,2,1176,38,1982,375
5510 SW 4th Pl #104,189000,2,2,1446,36,1984,422
5115 Sunnybrook Ct #17,250000,2,2,1514,40,1980,
1808 William Reggie Rd #122,209900,2,2,1113,3,2017,225
5793 Cape Harbour Dr #1517,477000,3,2,1740,13,2007,
4528 SW 7th Pl,163000,2,2,1012,19,2001,
1112 SW 48th Ter Unit C101,143500,2,2,1160,34,1986,
922 SW 48th Ter #113,195700,2,2,1072,33,1987,428
1766 Cape Coral Pkwy E #207,130500,2,2,1076,55,1965,325
1663 Edith Esplanade #203,208500,2,2,1140,48,1972,
1120 SE 46th St Unit 2D,169000,2,2,1225,44,1976,425
4906 Victoria Dr #414,90000,2,2,1030,46,1974,
4624 SE 6th Ave Unit 1L,104000,2,2,978,41,1979,
4010 Coronado Pkwy #208,150000,3,2.5,2183,48,1972,506
5217 Coronado Pkwy #201,118500,2,2,1168,26,1994,200
2510 SE 16th Pl #201,95000,2,2,1073,38,1982,
4549 SE 5th Pl #116,190000,2,2,1256,44,1976,335
1783 Four Mile Cove Pkwy #243,175900,2,2,1226,16,2004,330
4020 SE 20th Pl #3,175000,2,2,1272,41,1979,
1783 Four Mile Cove Pkwy #242,230000,3,2,1330,16,2004,350
