Neighborhood,Address,Price,Beds,Baths,Sqft
Bridgeport,"3004 S Canal St, Chicago, IL 60616Sold",670000,10,5,"4,600"
Bridgeport,"1314 W 33rd St, Chicago, IL 60608Sold",990000,5,5,"6,306"
Bridgeport,"1336 W 32nd Pl, Chicago, IL 60608Sold",890000,5,5,"3,750"
Bridgeport,"1219 W 33rd Pl, Chicago, IL 60608Sold",840500,5,5,"4,700"
Bridgeport,"2837 S Eleanor St, Chicago, IL 60608Sold",800000,4,4,"4,800"
Bridgeport,"3315 S Throop St, Chicago, IL 60608Sold",790000,4,4,"4,500"
Bridgeport,"3300 S Carpenter St, Chicago, IL 60608Sold",770000,8,4,"3,500"
Bridgeport,"3212 S Wallace St APT 3, Chicago, IL 60616Sold",750000,3,2,"2,000"
Bridgeport,"3212 S Wallace St APT 2W, Chicago, IL 60616Sold",750000,2,1,"1,300"
Bridgeport,"3212 S Wallace St # 1, Chicago, IL 60616Sold",750000,3,2,"1,800"
Bridgeport,"1300 W 33rd St, Chicago, IL 60608Sold",750000,4,4,"4,470"
Bridgeport,"3410 S Parnell Ave, Chicago, IL 60616Sold",749000,2,2,"1,700"
Bridgeport,"3115 S Wallace St, Chicago, IL 60616Sold",728000,6,5,"2,480"
Bridgeport,"3305 S Racine Ave, Chicago, IL 60608Sold",720000,6,5,"3,720"
Bridgeport,"3307 S Racine Ave, Chicago, IL 60608Sold",719900,6,5,"3,720"
Bridgeport,"3405 S Parnell Ave, Chicago, IL 60616Sold",685000,5,4,"2,480"
Bridgeport,"933 W 37th St, Chicago, IL 60609Sold",684500,4,4,"3,000"
Bridgeport,"3355 S Union Ave, Chicago, IL 60616Sold",678000,6,3,"3,416"
Bridgeport,"3361 S Parnell Ave, Chicago, IL 60616Sold",650000,3,3,"4,187"
Bridgeport,"1143 W 34th Pl, Chicago, IL 60608Sold",630000,5,3,"3,400"
Bridgeport,"2723 S Union Ave, Chicago, IL 60616Sold",630000,4,3.5,"3,420"
Bridgeport,"2930 S Quinn St, Chicago, IL 60608Sold",620000,4,4,"3,800"
Bridgeport,"2571 S Hillock Ave, Chicago, IL 60608Sold",618000,5,4,"2,960"
Bridgeport,"3137 S Throop St, Chicago, IL 60608Sold",605000,4,4,"3,200"
Bridgeport,"3040 S Gratten Ave, Chicago, IL 60608Sold",600000,4,4,"3,125"
Bridgeport,"958 W 36th St, Chicago, IL 60609Sold",590000,4,4,"3,600"
Bridgeport,"1217 W 33rd St, Chicago, IL 60608Sold",585000,4,4,"3,200"
Bridgeport,"1203 W 33rd Pl, Chicago, IL 60608Sold",580000,4,4,"3,300"
Bridgeport,"1213 W 33rd Pl, Chicago, IL 60608Sold",580000,4,4,"3,574"
Bridgeport,"3659 S Canal St, Chicago, IL 60609Sold",580000,4,4,"2,340"
Bridgeport,"1228 W 33rd Pl, Chicago, IL 60608Sold",575000,4,4,"3,051"
Bridgeport,"2811 S Hillock Ave, Chicago, IL 60608Sold",565000,8,4,"2,400"
Bridgeport,"3311 S Parnell Ave, Chicago, IL 60616Sold",562500,4,4,"2,700"
Bridgeport,"2912 S Throop St, Chicago, IL 60608Sold",530000,3,4,"2,000"
Bridgeport,"515 W 28th Pl, Chicago, IL 60616Sold",511000,4,3,"1,325"
Bridgeport,"531 W 28th St, Chicago, IL 60616Sold",510000,4,2,"1,800"
Bridgeport,"953 W 36th St, Chicago, IL 60609Sold",505000,3,3,"2,507"
Bridgeport,"953 W 36th St, Chicago, IL 60609Sold",505000,3,3,"2,507"
Bridgeport,"1356 W 32nd St, Chicago, IL 60608Sold",495000,6,4,"2,200"
Bridgeport,"2507 S Mary St, Chicago, IL 60608Sold",493000,4,4,"2,122"
Bridgeport,"3211 S Canal St, Chicago, IL 60616Sold",488000,4,3,"2,600"
Bridgeport,"3213 S Canal St, Chicago, IL 60616Sold",488000,4,3,"2,600"
Bridgeport,"959 W 36th Pl, Chicago, IL 60609Sold",485000,4,4,"2,507"
Bridgeport,"2911 S Lowe, Chicago, IL 60616Sold",483000,9,5,"3,000"
Bridgeport,"3204 S Lituanica Ave, Chicago, IL 60608Sold",460000,3,2,"1,850"
Bridgeport,"3732 S Wallace St, Chicago, IL 60609Sold",455000,5,3,"2,470"
Bridgeport,"3527 S Parnell Ave UNIT A, Chicago, IL 60609Sold",453000,4,3.5,"2,000"
Bridgeport,"3765 S Morgan St UNIT B, Chicago, IL 60609Sold",451000,4,4,"2,216"
Bridgeport,"3307 S Union Ave, Chicago, IL 60616Sold",450000,4,4,"3,200"
Bridgeport,"3845 S Emerald Ave, Chicago, IL 60609Sold",450000,3,4,"3,300"
Bridgeport,"3521 S Parnell Ave UNIT A, Chicago, IL 60609Sold",445000,4,4,"2,000"
Bridgeport,"3527 S Parnell Ave, Chicago, IL 60609Sold",443000,4,3.5,"2,000"
Bridgeport,"3527 S Parnell Ave UNIT B, Chicago, IL 60609Sold",443000,4,4,"2,000"
Bridgeport,"510 W 32nd St, Chicago, IL 60616Sold",439000,6,3,"1,200"
Bridgeport,"338 W 27th St, Chicago, IL 60616Sold",438000,4,3,"2,500"
Bridgeport,"835 W 37th St # B, Chicago, IL 60609Sold",435000,3,4,"1,934"
Bridgeport,"3527 S Parnell Ave UNIT F, Chicago, IL 60609Sold",435000,4,4,"2,000"
Bridgeport,"3527 S Parnell Ave UNIT C, Chicago, IL 60609Sold",432000,4,4,"2,000"
Bridgeport,"348 W 27th St, Chicago, IL 60616Sold",429000,3,1.5,"1,748"
Bridgeport,"2722 S Normal Ave, Chicago, IL 60616Sold",420000,4,3,"2,700"
Bridgeport,"3321 S Aberdeen St, Chicago, IL 60608Sold",420000,4,2,"1,072"
Bridgeport,"338 W 33rd St, Chicago, IL 60616Sold",417000,3,3,"1,643"
Bridgeport,"2739 S Quinn St, Chicago, IL 60608Sold",415000,4,4,"2,016"
Bridgeport,"2618 S Farrell St, Chicago, IL 60608Sold",415000,3,3,"2,400"
Bridgeport,"2957 S Elias Ct, Chicago, IL 60608Sold",410000,5,3,"2,063"
Bridgeport,"3247 S Green St, Chicago, IL 60608Sold",409000,4,3.5,"2,000"
Bridgeport,"3243 S Green St, Chicago, IL 60608Sold",409000,4,4,"2,000"
Bridgeport,"546 W 32nd St # 1, Chicago, IL 60616Sold",408000,3,1,"1,323"
Bridgeport,"546 W 32nd St, Chicago, IL 60616Sold",408000,3,2,"2,000"
Bridgeport,"962 W 37th Pl, Chicago, IL 60609Sold",405000,3,2.5,"2,096"
Bridgeport,"960 W 37th St UNIT 4, Chicago, IL 60609Sold",405000,4,3,"2,096"
Bridgeport,"3356 S Justine St, Chicago, IL 60608Sold",402500,4,4,"2,348"
Bridgeport,"3250 S Shields Ave UNIT C, Chicago, IL 60616Sold",390000,3,2.5,"1,230"
Bridgeport,"2910 S Emerald Ave, Chicago, IL 60616Sold",386000,3,2,"1,200"
Bridgeport,"2839 S Emerald Ave, Chicago, IL 60616Sold",385000,4,2,"1,250"
Bridgeport,"3026 S Wallace St, Chicago, IL 60616Sold",385000,1,1,"1,300"
Bridgeport,"3144 S Lituanica Ave, Chicago, IL 60608Sold",384000,9,3,"1,000"
Bridgeport,"837 W 33rd St, Chicago, IL 60608Sold",380000,8,4,"2,826"
Bridgeport,"1045 W 31st Pl, Chicago, IL 60608Sold",378000,2,1,850
Bridgeport,"3243 S Normal Ave UNIT 1, Chicago, IL 60616Sold",370000,3,3,"2,000"
Bridgeport,"329 W 25th Pl APT D, Chicago, IL 60616Sold",370000,3,7,"1,845"
Bridgeport,"2915 S Halsted St APT A, Chicago, IL 60608Sold",368000,4,2,"1,800"
Bridgeport,"2942 S Quinn St, Chicago, IL 60608Sold",366000,3,1,"1,110"
Bridgeport,"2817 S Thomas Barclay Dr, Chicago, IL 60608Sold",365000,3,3,"1,903"
Bridgeport,"2610 S Wallace St, Chicago, IL 60616Sold","360,000",-,1,834
Bridgeport,"3736 S Lowe Ave, Chicago, IL 60609Sold",357500,3,1,"1,080"
Bridgeport,"3038 S Loomis St, Chicago, IL 60608Sold",354000,4,2,"2,400"
Bridgeport,"3340 S Justine St, Chicago, IL 60608Sold",350000,4,4,"2,348"
Bridgeport,"832 W 34th St, Chicago, IL 60608Sold",350000,3,2,"1,260"
Bridgeport,"3409 S Racine Ave, Chicago, IL 60608Sold",350000,5,2,"2,280"
Bridgeport,"3536 S Parnell Ave, Chicago, IL 60609Sold",348000,5,3,"1,800"
Bridgeport,"1350 W 31st Pl, Chicago, IL 60608Sold",345000,4,3,"1,800"
Bridgeport,"3047 S Broad St, Chicago, IL 60608Sold",342000,2,1,690
Bridgeport,"3826 S Emerald Ave # 1, Chicago, IL 60609Sold",342000,4,3,"2,000"
Bridgeport,"2923 S Union Ave, Chicago, IL 60616Sold",333000,3,1,"1,260"
Bridgeport,"711 W 31st St # 1, Chicago, IL 60616Sold",332000,3,3,"1,686"
Bridgeport,"3110 S Racine Ave, Chicago, IL 60608Sold",329000,4,2,"1,780"
Bridgeport,"2856 S Throop St, Chicago, IL 60608Sold",322000,5,2,"2,616"
Bridgeport,"2910 S Union Ave, Chicago, IL 60616Sold",320000,4,2,"1,850"
Bridgeport,"870 W 27th St # B, Chicago, IL 60608Sold",320000,4,2,"2,000"
Bridgeport,"3437 S Halsted St # 3, Chicago, IL 60608Sold",317000,3,2,"1,750"
Bridgeport,"3353 S Morgan St # 3, Chicago, IL 60608Sold",315000,3,2,"1,700"
Bridgeport,"927 W 35th St APT 2, Chicago, IL 60609Sold",305000,3,2,"1,700"
Bridgeport,"3748 S Wallace St, Chicago, IL 60609Sold",300000,4,2,"1,200"
Bridgeport,"553 W 31st St APT 2, Chicago, IL 60616Sold",280000,2,2,"1,500"
Bridgeport,"3331 S Aberdeen St, Chicago, IL 60608Sold",280000,3,1,"1,064"
Bridgeport,"3132 S Lowe Ave, Chicago, IL 60616Sold",280000,2,1,"1,000"
Bridgeport,"3450 S Halsted St UNIT 502, Chicago, IL 60608Sold",275000,2,2,"1,290"
Bridgeport,"3450 S Halsted St UNIT 210, Chicago, IL 60608Sold",271000,2,2,"1,163"
Bridgeport,"909 W 35th Pl, Chicago, IL 60609Sold",264000,3,1,"1,127"
Bridgeport,"3450 Halsted, Chicago, IL 60609Sold",260000,2,2,"1,303"
Bridgeport,"3450 S Halsted St UNIT 209, Chicago, IL 60608Sold",260000,2,2,"1,303"
Bridgeport,"974 W 35th Pl APT 506, Chicago, IL 60609Sold",258500,2,2,915
Bridgeport,"3002 S Poplar Ave, Chicago, IL 60608Sold",258000,2,1,"1,319"
Bridgeport,"3505 S Morgan St APT 214, Chicago, IL 60609Sold",255000,2,2,"1,094"
Bridgeport,"3450 S Halsted St UNIT 215, Chicago, IL 60608Sold",255000,2,2,"1,165"
Bridgeport,"3450 S Halsted St, Chicago, IL 60608Sold",255000,2,2,"1,165"
Bridgeport,"3020 S Lock St, Chicago, IL 60608Sold",255000,3,1,"1,076"
Bridgeport,"3124 S Wallace St, Chicago, IL 60616Sold",250000,2,1,"1,050"
Bridgeport,"642 W 37th St, Chicago, IL 60609Sold",250000,3,1,"1,000"
Bridgeport,"1053 W 32nd St, Chicago, IL 60608Sold",250000,3,1,841
Bridgeport,"3220 S Racine Ave, Chicago, IL 60608Sold",250000,3,2,"1,600"
Bridgeport,"824 W 37th St, Chicago, IL 60609Sold",250000,3,2,"1,800"
Bridgeport,"3076 S Lock St, Chicago, IL 60608Sold",232000,4,1,"1,600"
Bridgeport,"922 W 36th St, Chicago, IL 60609Sold",229000,3,1,"1,200"
Bridgeport,"3500 S Sangamon St APT 507, Chicago, IL 60609Sold",225000,2,1,"1,016"
Bridgeport,"2523 S Hillock Ave, Chicago, IL 60608Sold",224000,3,2,"2,400"
Bridgeport,"3114 S Lowe Ave, Chicago, IL 60616Sold",222500,3,1,"1,232"
Bridgeport,"3319 S Racine Ave, Chicago, IL 60608Sold",212000,3,2,"2,952"
Bridgeport,"3023 S Farrell St, Chicago, IL 60608Sold",209000,3,2,"1,000"
Bridgeport,"3500 S Sangamon St APT 502, Chicago, IL 60609Sold",205000,1,1,"1,000"
Bridgeport,"3450 S Halsted St UNIT 304, Chicago, IL 60608Sold",193000,1,1,900
Bridgeport,"3450 S Halsted St UNIT 304, Chicago, IL 60608Sold",193000,1,1,935
Bridgeport,"3500 S Sangamon St APT 411, Chicago, IL 60609Sold",187500,1,1,744
Bridgeport,"3500 S Sangamon St APT 411, Chicago, IL 60609Sold",187500,1,1,940
Bridgeport,"3500 S Sangamon St APT 403, Chicago, IL 60609Sold",185000,1,1,980
Bridgeport,"3229 S Lituanica Ave # 1, Chicago, IL 60608Sold",182000,2,1,"1,056"
Bridgeport,"2919 S Lyman St, Chicago, IL 60608Sold",175000,2,1,483
Bridgeport,"2847 S Farrell St, Chicago, IL 60608Sold",163000,2,2,740
Bridgeport,"3021 S Quinn St, Chicago, IL 60608Sold",160000,2,1,630
Bridgeport,"2939 S Keeley St # 2, Chicago, IL 60608Sold",140000,2,1,750
Bridgeport,"2937 S Keeley St # 2, Chicago, IL 60608Sold",136000,2,1,850
Bridgeport,"831 W 34th St, Chicago, IL 60608Sold",10000,3,1,"1,012"
Brookfield,"4027 Maple Ave, Brookfield, IL 60513","215,000",2,2,936
Brookfield,"4030 Forest Ave, Brookfield, IL 60513","221,750",2,1,"1,000"
Brookfield,"8645 Parkview Ave, Brookfield, IL 60513","420,000",4,4,"2,083"
Brookfield,"9209 Burlington Ave, Brookfield, IL 60513","166,000",3,1,995
Brookfield,"3802 Sunnyside Ave, Brookfield, IL 60513","300,000",3,3,"2,130"
Brookfield,"3146 Maple Ave, Brookfield, IL 60513","195,000",3,2,"1,541"
Brookfield,"9431 Lincoln Ave, Brookfield, IL 60513","204,000",2,1,"1,244"
Brookfield,"3737 Morton Ave, Brookfield, IL 60513","201,000",2,1,960
Brookfield,"3840 Raymond Ave, Brookfield, IL 60513","219,000",3,2,"1,296"
Brookfield,"4400 Vernon Ave, Brookfield, IL 60513","275,000",3,2,"1,125"
Brookfield,"4118 Dubois Blvd, Brookfield, IL 60513","265,000",3,2,"1,238"
Brookfield,"4321 Maple Ave, Brookfield, IL 60513","159,000",2,1,859
Brookfield,"3519 Morton Ave, Brookfield, IL 60513","238,500",3,2,"1,192"
Brookfield,"2621 Maple Ave, Brookfield, IL 60513","300,000",3,2,"1,129"
Brookfield,"8907 Southview Ave, Brookfield, IL 60513","327,000",3,2,"1,483"
Brookfield,"9241 Washington Ave, Brookfield, IL 60513","430,000",5,3,"2,620"
Brookfield,"4146 Maple Ave, Brookfield, IL 60513","239,000",3,1,"1,058"
Brookfield,"3034 Vernon Ave, Brookfield, IL 60513","240,000",3,2,"1,250"
Brookfield,"4302 Maple Ave, Brookfield, IL 60513","77,500",2,1,624
Brookfield,"3228 Arthur Ave, Brookfield, IL 60513","152,000",4,2,"1,407"
Brookfield,"9317 Jackson Ave, Brookfield, IL 60513","249,000",4,1.5,778
Brookfield,"8900 31st St UNIT 1, Brookfield, IL 60513","275,000",3,3,"2,400"
Brookfield,"3311 Madison Ave, Brookfield, IL 60513","462,500",4,4,"2,828"
Brookfield,"3717 Cleveland Ave, Brookfield, IL 60513","210,000",3,1,"1,223"
Brookfield,"3508 Forest Ave, Brookfield, IL 60513","310,000",3,2,"1,749"
Brookfield,"3127 Vernon Ave, Brookfield, IL 60513","307,000",3,3,913
Brookfield,"4022 Elm Ave, Brookfield, IL 60513","170,000",2,1,"1,000"
Brookfield,"3727 Prairie Ave # B, Brookfield, IL 60513","159,500",4,4,"1,518"
Brookfield,"4137 Grove Ave, Brookfield, IL 60513","235,000",3,2,"1,400"
Brookfield,"8506 Rockefeller Ave, Brookfield, IL 60513","385,000",6,4,"2,000"
Brookfield,"4311 Dubois Blvd, Brookfield, IL 60513","325,000",4,3,"2,400"
Brookfield,"8515 Riverside Ave, Brookfield, IL 60513","295,000",3,3,"1,550"
Brookfield,"8437 Greenview Ave, Brookfield, IL 60513","330,000",4,2,"2,010"
Brookfield,"4505 Blanchan Ave, Brookfield, IL 60513","207,000",2,1,"1,000"
Brookfield,"4505 Blanchan Ave, Brookfield, IL 60513","207,000",2,1,"1,000"
Brookfield,"4311 Dubois Blvd, Brookfield, IL 60513","325,000",3,1.5,"1,512"
Brookfield,"4215 Dubois Blvd, Brookfield, IL 60513","548,000",4,4,"3,000"
Brookfield,"3323 Maple Ave, Brookfield, IL 60513","226,000",4,2,"1,612"
Brookfield,"3812 Cleveland Ave, Brookfield, IL 60513","218,000",2,1,912
Brookfield,"4138 Grove Ave, Brookfield, IL 60513","392,000",5,3,"2,100"
Brookfield,"8643 Rockefeller Ave, Brookfield, IL 60513","360,000",4,3,"1,600"
Brookfield,"3917 Oak Ave, Brookfield, IL 60513","283,000",4,2,"1,600"
Brookfield,"4003 Raymond Ave, Brookfield, IL 60513","182,000",3,1,"1,380"
Brookfield,"3645 Vernon Ave, Brookfield, IL 60513","120,000",3,1,984
Brookfield,"3122 Prairie Ave, Brookfield, IL 60513","185,000",3,1,"1,084"
Brookfield,"4433 Maple Ave, Brookfield, IL 60513","279,000",4,2,"1,800"
Brookfield,"8923 Burlington Ave, Brookfield, IL 60513","139,000",2,1,"1,120"
Brookfield,"3928 Maple Ave, Brookfield, IL 60513","165,000",3,2,"1,300"
Brookfield,"3507 Kemman Ave, Brookfield, IL 60513","293,500",4,2,"1,344"
Brookfield,"3139 Oak Ave, Brookfield, IL 60513","221,500",3,2,"1,260"
Brookfield,"4223 Deyo Ave, Brookfield, IL 60513","140,000",4,2,820
Brookfield,"8710 Southview Ave, Brookfield, IL 60513","270,000",3,2,"1,381"
Brookfield,"4122 Dubois Blvd, Brookfield, IL 60513","210,000",3,1,"1,200"
Brookfield,"4137 Park Ave, Brookfield, IL 60513","300,000",3,2,"1,126"
Brookfield,"4237 Park Ave, Brookfield, IL 60513","153,500",2,1,"1,160"
Brookfield,"3710 Grand Blvd, Brookfield, IL 60513","280,000",3,2,"1,332"
Brookfield,"4235 Elm Ave, Brookfield, IL 60513","150,000",4,1,900
Brookfield,"3146 Harrison Ave, Brookfield, IL 60513","120,000",2,1,"1,001"
Brookfield,"3210 Grand Blvd, Brookfield, IL 60513","184,000",2,1,"1,036"
Brookfield,"4241 Sunnyside Ave, Brookfield, IL 60513","200,000",2,2,"1,200"
Brookfield,"4235 Park Ave, Brookfield, IL 60513","230,000",2,1,"1,160"
Brookfield,"9432 Henrietta Ave, Brookfield, IL 60513","285,000",3,1,"1,174"
Brookfield,"3251 Grand Blvd, Brookfield, IL 60513","184,000",3,2,"1,560"
Brookfield,"3721 Morton Ave, Brookfield, IL 60513","257,500",2,2,960
Brookfield,"3124 Elm Ave, Brookfield, IL 60513","290,000",5,2,"2,020"
Brookfield,"8813 44th Pl, Brookfield, IL 60513","228,500",3,1.5,"1,320"
Brookfield,"8900 31st St UNIT 18, Brookfield, IL 60513","285,000",3,4,"1,960"
Brookfield,"9232 Broadway Ave, Brookfield, IL 60513","425,000",6,3,"1,200"
Brookfield,"3721 Prairie Ave APT 205, Brookfield, IL 60513","106,000",1,1,700
Brookfield,"3521 Cleveland Ave, Brookfield, IL 60513","228,000",3,2,"1,396"
Brookfield,"8813 44th Place, Brookfield, IL 60513","228,350",3,1.5,"1,280"
Brookfield,"8822 Brookfield Ave UNIT 301, Brookfield, IL 60513","235,000",2,2,"1,542"
Brookfield,"9526 Henrietta Ave, Brookfield, IL 60513","149,000",2,1,700
Brookfield,"4141 Park Ave, Brookfield, IL 60513","382,500",3,2,"2,895"
Brookfield,"9535 31st St, Brookfield, IL 60513","165,000",2,2,656
Brookfield,"4336 Maple Ave, Brookfield, IL 60513","280,000",2,2,"1,145"
Brookfield,"3440 Prairie Ave, Brookfield, IL 60513","397,000",4,2,"2,951"
Brookfield,"3529 Hollywood Ave, Brookfield, IL 60513","228,500",3,2,"1,100"
Brookfield,"9408 Henrietta Ave, Brookfield, IL 60513","168,000",2,1,780
Brookfield,"3246 Raymond Ave, Brookfield, IL 60513","254,000",3,2,"1,310"
Brookfield,"3720 Woodside Ave, Brookfield, IL 60513","184,000",4,2.5,"1,854"
Brookfield,"8819 Gerritsen Ave, Brookfield, IL 60513","325,000",4,3,"2,000"
Brookfield,"3720 Woodside Ave, Brookfield, IL 60513","184,000",4,2,"1,854"
Brookfield,"9529 Shields Ave, Brookfield, IL 60513","297,500",3,3,"2,021"
Brookfield,"3136 Raymond Ave, Brookfield, IL 60513","223,000",3,1,"1,011"
Brookfield,"3135 Madison Ave, Brookfield, IL 60513","200,000",4,2,"2,046"
Brookfield,"4439 Raymond Ave, Brookfield, IL 60513","86,500",3,1.5,"1,196"
Brookfield,"4150 Oak Ave, Brookfield, IL 60513","241,000",2,2,"1,496"
Brookfield,"3939 Maple Ave, Brookfield, IL 60513","302,500",4,2,"1,224"
Brookfield,"4201 Maple Ave, Brookfield, IL 60513","265,000",5,2,"2,319"
Brookfield,"3124 Prairie Ave, Brookfield, IL 60513","165,000",3,1.5,988
Brookfield,"3443 Park Ave, Brookfield, IL 60513","224,000",3,1,"1,248"
Brookfield,"3119 Morton Ave, Brookfield, IL 60513","420,000",4,4,"2,775"
Brookfield,"4600 Custer Ave, Brookfield, IL 60513","250,000",3,2,"1,171"
Brookfield,"3920 Forest Ave, Brookfield, IL 60513","195,000",3,2,"1,441"
Brookfield,"3848 Madison Ave, Brookfield, IL 60513","255,000",3,1,"1,150"
Brookfield,"3730 Madison Ave, Brookfield, IL 60513","227,500",3,1,981
Brookfield,"4141 Maple Ave, Brookfield, IL 60513","225,000",3,2,"1,700"
Brookfield,"3740 Blanchan Ave, Brookfield, IL 60513","247,500",3,2,"1,303"
Brookfield,"4225 Raymond Ave, Brookfield, IL 60513","299,000",3,2,"2,405"
Brookfield,"3940 Sunnyside Ave, Brookfield, IL 60513","437,000",5,3,"2,500"
Brookfield,"4320 Deyo Ave, Brookfield, IL 60513","237,500",4,2,"1,468"
Brookfield,"4311 Eberly Ave, Brookfield, IL 60513","295,000",3,3,"2,080"
Brookfield,"4428 Blanchan Ave, Brookfield, IL 60513","305,000",4,2,"2,127"
Brookfield,"3934 Maple Ave, Brookfield, IL 60513","176,000",2,1,900
Brookfield,"4146 Vernon Ave, Brookfield, IL 60513","192,500",4,2,"1,980"
Brookfield,"4235 Arthur Ave, Brookfield, IL 60513","291,000",3,2,"1,880"
Brookfield,"3517 Park Ave, Brookfield, IL 60513","262,000",3,2,"1,352"
Brookfield,"3933 Arthur Ave, Brookfield, IL 60513","185,000",4,1,"1,336"
Brookfield,"4600 Maple Ave, Brookfield, IL 60513","500,000",3,2,"1,340"
Brookfield,"3110 Prairie Ave, Brookfield, IL 60513","195,000",3,1,988
Brookfield,"9134 28th St, Brookfield, IL 60513","250,000",2,1,"1,617"
Brookfield,"3119 Arthur Ave, Brookfield, IL 60513","260,000",3,2,"1,400"
Brookfield,"3417 Grand Blvd, Brookfield, IL 60513","258,000",3,2,"1,225"
Brookfield,"3712 Arthur Ave, Brookfield, IL 60513","256,000",3,3,"1,220"
Brookfield,"4329 Blanchan Ave, Brookfield, IL 60513","191,000",3,1,"1,156"
Brookfield,"4233 Madison Ave, Brookfield, IL 60513","217,500",2,2,"2,500"
Brookfield,"3326 Madison Ave, Brookfield, IL 60513","139,000",3,1,754
Brookfield,"3307 Sunnyside Ave, Brookfield, IL 60513","179,000",2,2,924
Brookfield,"4144 Park Ave, Brookfield, IL 60513","248,000",2,2,"1,159"
Brookfield,"4329 Blanchan Ave, Brookfield, IL 60513","191,000",3,1,"1,156"
Brookfield,"4174 Deyo Ave, Brookfield, IL 60513","310,000",3,2,"2,015"
Brookfield,"9438 Washington Ave, Brookfield, IL 60513","199,000",3,1,"1,167"
