Address,Price,Beds,Baths,Sqft
"1811 N Rockwell St UNIT H, Chicago, IL 60647Sold",455000,3,3,"1,454"
"2636 W Cortland St APT 2, Chicago, IL 60647Sold",309000,3,1,"1,100"
"3116 W Homer St, Chicago, IL 60647Sold",995000,4,4,"3,100"
"1702 N Washtenaw Ave # 2, Chicago, IL 60647Sold",430000,3,2,"1,500"
"2771 W Francis Pl UNIT 305N, Chicago, IL 60647Sold",465000,3,2,"1,400"
"2628 W Cortland St, Chicago, IL 60647Sold",750000,4,4,"2,226"
"1731 N Rockwell St, Chicago, IL 60647Sold",770000,4,4,"3,500"
"2544 W Bloomingdale Ave, Chicago, IL 60647Sold",530000,3,3,"2,400"
"2021 N Kedzie Ave APT 3E, Chicago, IL 60647Sold",387500,2,2,"1,350"
"2700 W Cortland St APT 2, Chicago, IL 60647Sold",302000,2,1,930
"2815 W Mclean Ave, Chicago, IL 60647Sold",325000,2,1,"1,036"
"2511 W Moffat St # 210-I, Chicago, IL 60647Sold",398000,3,2,"1,485"
"2527 W Moffat St, Chicago, IL 60647Sold",364000,1,1,"1,000"
"2511 W Moffat St APT 107, Chicago, IL 60647Sold",364000,2,1,"1,100"
"1726 N Kedzie Ave # G, Chicago, IL 60647Sold",284000,3,3,"1,114"
"1935 N Sawyer Ave # 1N, Chicago, IL 60647Sold",495000,4,3,"3,000"
"1636 N Whipple St, Chicago, IL 60647Sold",750000,4,4,"3,052"
"1664 N Francisco Ave, Chicago, IL 60647Sold",505000,4,2,"1,650"
"1720 N Talman Ave # 1, Chicago, IL 60647Sold",490000,3,3,"2,500"
"3212 W Wabansia Ave, Chicago, IL 60647Sold",702500,4,4,"3,000"
"3251 W Wabansia Ave # 1, Chicago, IL 60647Sold",300000,4,1,969
"3021 W Armitage Ave APT 305, Chicago, IL 60647Sold",424000,3,2,"1,500"
"2524 W Bloomingdale Ave APT A, Chicago, IL 60647Sold",425000,2,2,"1,250"
"2950 W Cortland St APT 1, Chicago, IL 60647Sold",280000,2,1,"1,094"
"1923 N Humboldt Blvd # 1, Chicago, IL 60647Sold",288000,3,2,"1,250"
"1846 N Rockwell St, Chicago, IL 60647Sold",480000,7,3,"1,620"
"1800 N California Ave # 2E, Chicago, IL 60647Sold",435000,2,2,"10,533"
"3024 W Armitage Ave # 1, Chicago, IL 60647Sold",545000,3,3,"1,690"
"2540 W Bloomingdale Ave, Chicago, IL 60647Sold",520000,3,3,"1,454"
"2028 N Point St, Chicago, IL 60647Sold",715000,4,4,"2,400"
"1720 N Kedzie Ave APT D, Chicago, IL 60647Sold",265000,2,3,"1,114"
"1939 N Sawyer Ave, Chicago, IL 60647Sold",347000,2,3,"1,800"
"1740 N Maplewood Ave APT 113, Chicago, IL 60647Sold",275000,1,1,830
"1625 N Francisco Ave, Chicago, IL 60647Sold",736000,4,4,"3,560"
"1702 N Washtenaw Ave # 3, Chicago, IL 60647Sold",500000,2,2,"1,500"
"2612 W Cortland St, Chicago, ILSold",425000,5,5,"4,200"
"2068 N Humboldt Blvd APT 3, Chicago, IL 60647Sold",500000,3,2,"1,550"
"1619 N Sawyer Ave, Chicago, IL 60647Sold",550000,2,2,"1,880"
"1820 N Fairfield Ave # 1, Chicago, IL 60647Sold",400000,3,2,900
"1740 N Talman Ave, Chicago, IL 60647Sold",825000,4,4,"4,000"
"1934 N Rockwell St # 1R, Chicago, IL 60647Sold",268000,2,1,"1,000"
"2110 N Bingham St, Chicago, IL 60647Sold",674500,3,3,"1,800"
"2046 N Whipple St, Chicago, IL 60647Sold",380000,4,2,"2,000"
"1934 N Washtenaw Ave APT 219, Chicago, IL 60647Sold",295000,2,1,"1,022"
"1905 N Albany Ave, Chicago, IL 60647Sold",559500,3,2,"1,610"
"1627 N Fairfield Ave # 2, Chicago, IL 60647Sold",372500,2,2,"1,300"
"1743 N Troy St # 1, Chicago, IL 60647Sold",725000,4,4,"3,084"
"2136 N Point St, Chicago, IL 60647Sold",999000,4,4,"3,505"
"1633 N Fairfield Ave, Chicago, IL 60647Sold",475000,4,2,"1,700"
"1743 N Troy St, Chicago, IL 60647Sold",725000,4,4,"3,084"
"1935 N Fairfield Ave APT 202, Chicago, IL 60647Sold",364000,1,1,"1,620"
"1935 N Fairfield Ave APT 202, Chicago, IL 60647Sold",364000,3,1,"1,700"
"2065 N Kedzie Ave APT 215, Chicago, IL 60647Sold",401000,3,3,"1,500"
"1936 N Albany Ave # 1, Chicago, IL 60647Sold",900000,4,4,"2,212"
"1803 N Kedzie Ave APT 202, Chicago, IL 60647Sold",365000,2,2,"1,400"
"2800 W North Ave UNIT 504, Chicago, IL 60647Sold",382500,2,2,"1,100"
"1928 N Kedzie Ave APT 302, Chicago, IL 60647Sold",370000,2,2,"1,336"
"1649 N Washtenaw Ave, Chicago, IL 60647Sold",800000,5,3,"3,800"
"3107 W Armitage Ave APT 3, Chicago, IL 60647Sold",422000,3,2,"1,400"
"1750 N Washtenaw Ave # 1, Chicago, IL 60647Sold",380000,3,1.5,"1,332"
"1743 N Fairfield Ave # 1, Chicago, IL 60647Sold",833000,3,3.5,"1,851"
"2555 W Moffat St UNIT C, Chicago, IL 60647Sold",503000,3,2.5,"2,250"
"1702 N Washtenaw Ave # 1, Chicago, IL 60647Sold",610000,4,4,"2,824"
"2948 W Cortland St APT 2, Chicago, IL 60647Sold",299000,2,2,"1,178"
"1718 N Talman Ave # 2, Chicago, IL 60647Sold",399500,2,2,"1,258"
"2636 W Cortland St APT 1, Chicago, IL 60647Sold",360000,3,2,"2,000"
"1620 N Mozart St APT 1S, Chicago, IL 60647Sold",321000,2,2,"1,200"
"1750 N Washtenaw Ave, Chicago, IL 60647Sold",380000,4,2,"1,900"
