SOLD DATE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,LATITUDE,LONGITUDE
10/16/2020,5115 Old Colony Rd,Portage,MI,49024,210000,3,1.5,2279,11326,1962,59,144,42.243332,-85.5995922
10/29/2020,6032 Devon St,Portage,MI,49024,160000,4,1.5,2400,8610,1961,60,131,42.2291738,-85.6049957
10/6/2020,7026 Balfour Dr,Portage,MI,49024,145000,3,1,1088,13678,1960,61,154,42.2146758,-85.620259
11/23/2020,727 Southland Ave,Portage,MI,49024,155000,3,1.5,1472,9322,1959,62,106,42.2272106,-85.5979249
1/14/2021,2421 Holly Ave,Portage,MI,49024,175000,3,1,1560,13068,1958,63,54,42.1616304,-85.6182911
12/10/2020,4536 Chasemoor Dr,Portage,MI,49024,295060,4,3.5,2908,19600,1998,23,89,42.2429137,-85.6446311
12/4/2020,10402 Pennridge Dr,Portage,MI,49024,264050,4,2.5,1822,7547,2020,1,95,42.165764,-85.611514
1/19/2021,308 W Van Hoesen Blvd,Portage,MI,49024,129000,3,2,1176,6229,1998,23,49,42.2321164,-85.5922756
11/17/2020,6043 Peachtree St,Portage,MI,49024,158000,3,1.5,1656,7797,1957,64,112,42.2287662,-85.5983668
2/8/2021,2928 Romence Rd,Portage,MI,49024,197300,5,1.5,1624,11761,1959,62,29,42.215886,-85.6247568
11/23/2020,423 Parkland Terrace Ter,Portage,MI,49024,315000,4,2.5,2054,13000,1994,27,106,42.186706,-85.5932618
10/26/2020,10879 Poplar Bluff Ct,Portage,MI,49024,382500,5,3.5,3700,11587,2004,17,134,42.1589923,-85.6148663
12/1/2020,8109 Edmonds St,Portage,MI,49024,130000,3,1,1140,16988,1965,56,98,42.1991023,-85.5958959
12/29/2020,2284 Ashford Trl,Portage,MI,49024,285000,3,2.5,1496,10454,2015,6,70,42.1757962,-85.6160798
1/12/2021,4545 Caribou Ave,Portage,MI,49002,348500,4,3.5,2976,10019,2003,18,56,42.2046135,-85.5352713
10/21/2020,6813 Bratcher St,Portage,MI,49024,157000,3,2,1260,10454,1960,61,139,42.2180023,-85.5995721
12/31/2020,4317 Farnham Ave,Portage,MI,49002,170000,3,2,1340,8320,1963,58,68,42.2313442,-85.5373712
